evidence_id,paper_id,arxiv_id,evidence_type,source_url,pdf_path,anchor,supported_content,status,sha256
E-P006-B,P006,2201.08862,boundary,https://arxiv.org/abs/2201.08862,sources/pdfs/2201.08862.pdf,PDF p. 1 abstract.,"It establishes a conceptual and algorithmic bridge, not a direct SPS-versus-baseline performance comparison.",full_text_manual,798759d54c5256ac75eb188fac679c96d0af51979894b85d0c72c7db03817858
E-P008-I,P008,2210.03139,identity,https://arxiv.org/abs/2210.03139,sources/pdfs/2210.03139.pdf,PDF p. 1 title block and current arXiv metadata,Stochastic normalizing flows for lattice field theory,full_text_manual,6e55973206bb8030e21bdd951bc005c64dbabf2698a4491f1d21e5ca29909cc8
E-P008-P,P008,2210.03139,problem,https://arxiv.org/abs/2210.03139,sources/pdfs/2210.03139.pdf,PDF p. 1 unnumbered abstract.,Describe hybrid stochastic normalizing flows for sampling Boltzmann distributions in lattice field theory.,full_text_manual,6e55973206bb8030e21bdd951bc005c64dbabf2698a4491f1d21e5ca29909cc8
E-P008-M,P008,2210.03139,method,https://arxiv.org/abs/2210.03139,sources/pdfs/2210.03139.pdf,PDF pp. 1-2.,Combine normalizing flows with Monte Carlo updates in a framework related to Jarzynski equality and nonequilibrium statistical mechanics.,full_text_manual,6e55973206bb8030e21bdd951bc005c64dbabf2698a4491f1d21e5ca29909cc8
E-P008-R,P008,2210.03139,result,https://arxiv.org/abs/2210.03139,sources/pdfs/2210.03139.pdf,PDF p. 1 abstract and p. 2 Sec. 2.,The proceeding presents construction details and 2D phi4 applications.,full_text_manual,6e55973206bb8030e21bdd951bc005c64dbabf2698a4491f1d21e5ca29909cc8
E-P008-B,P008,2210.03139,boundary,https://arxiv.org/abs/2210.03139,sources/pdfs/2210.03139.pdf,PDF pp. 1-2.,"This is a short proceeding and should be used as an implementation account, with detailed claims checked against the underlying article.",full_text_manual,6e55973206bb8030e21bdd951bc005c64dbabf2698a4491f1d21e5ca29909cc8
E-P010-I,P010,2302.13834,identity,https://arxiv.org/abs/2302.13834,sources/pdfs/2302.13834.pdf,PDF p. 1 title block and current arXiv metadata,Denoising Diffusion Samplers,full_text_manual,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321
E-P010-P,P010,2302.13834,problem,https://arxiv.org/abs/2302.13834,sources/pdfs/2302.13834.pdf,PDF p. 1 abstract.,Sample approximately from unnormalized targets and estimate their normalizing constants through diffusion-style paths.,full_text_manual,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321
E-P010-M,P010,2302.13834,method,https://arxiv.org/abs/2302.13834,sources/pdfs/2302.13834.pdf,PDF pp. 1-2.,Approximate the reverse of a target-to-Gaussian diffusion and optimize an extended KL or ELBO using an auxiliary stationary reference process.,full_text_manual,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321
E-P010-R,P010,2302.13834,result,https://arxiv.org/abs/2302.13834,sources/pdfs/2302.13834.pdf,PDF p. 1 abstract and p. 2 Sec. 1.,The paper gives theoretical guarantees discussed for DDS and compares sampling methods on challenging non-lattice tasks.,full_text_manual,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321
E-P010-B,P010,2302.13834,boundary,https://arxiv.org/abs/2302.13834,sources/pdfs/2302.13834.pdf,PDF p. 1 abstract.,"DDS is an adjacent unnormalized-target method, not a lattice-field result in this paper.",full_text_manual,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321
E-P012-I,P012,2309.17082,identity,https://arxiv.org/abs/2309.17082,sources/pdfs/2309.17082.pdf,PDF p. 1 title block and current arXiv metadata,Diffusion Models as Stochastic Quantization in Lattice Field Theory,full_text_manual,3c6e52dcbf2a73118d59cb87490bb843ddbebce1e46c73b93f68caa144f242bc
E-P012-P,P012,2309.17082,problem,https://arxiv.org/abs/2309.17082,sources/pdfs/2309.17082.pdf,PDF p. 1 abstract.,Relate generative diffusion models to stochastic quantization and test them as global lattice samplers.,full_text_manual,3c6e52dcbf2a73118d59cb87490bb843ddbebce1e46c73b93f68caa144f242bc
E-P012-M,P012,2309.17082,method,https://arxiv.org/abs/2309.17082,sources/pdfs/2309.17082.pdf,"PDF pp. 1 and 6-9, Secs. 2-3.",Approximate reverse Langevin stochastic dynamics to move from a prior toward the lattice target distribution.,full_text_manual,3c6e52dcbf2a73118d59cb87490bb843ddbebce1e46c73b93f68caa144f242bc
E-P012-R,P012,2309.17082,result,https://arxiv.org/abs/2309.17082,sources/pdfs/2309.17082.pdf,PDF p. 1 abstract and Sec. 4.,The reported 2D phi4 diffusion sampler reduces autocorrelation in the critical region.,full_text_manual,3c6e52dcbf2a73118d59cb87490bb843ddbebce1e46c73b93f68caa144f242bc
E-P012-B,P012,2309.17082,boundary,https://arxiv.org/abs/2309.17082,sources/pdfs/2309.17082.pdf,PDF p. 1 abstract.,The claim is tied to the tested 2D phi4 setup and the reported model configuration.,full_text_manual,3c6e52dcbf2a73118d59cb87490bb843ddbebce1e46c73b93f68caa144f242bc
E-P013-I,P013,2310.11979,identity,https://arxiv.org/abs/2310.11979,sources/pdfs/2310.11979.pdf,PDF p. 1 title block and current arXiv metadata,Out-of-equilibrium simulations to fight topological freezing,full_text_manual,e6025298d818d5071c1cdcd1c9c5761f963ab5e230208c31de55963c6fcdd90a
E-P013-P,P013,2310.11979,problem,https://arxiv.org/abs/2310.11979,sources/pdfs/2310.11979.pdf,PDF p. 1 abstract and p. 2 Sec. 1.,Mitigate long topological autocorrelations in lattice gauge simulations.,full_text_manual,e6025298d818d5071c1cdcd1c9c5761f963ab5e230208c31de55963c6fcdd90a
E-P013-M,P013,2310.11979,method,https://arxiv.org/abs/2310.11979,sources/pdfs/2310.11979.pdf,PDF pp. 1-2.,"Use out-of-equilibrium evolutions with open-boundary starting configurations, gradually restore periodic boundaries, and apply a Jarzynski-inspired reweighting-like correction.",full_text_manual,e6025298d818d5071c1cdcd1c9c5761f963ab5e230208c31de55963c6fcdd90a
E-P013-R,P013,2310.11979,result,https://arxiv.org/abs/2310.11979,sources/pdfs/2310.11979.pdf,PDF p. 1 abstract and p. 2 Sec. 1.,The contribution reports tests in 2D CP(N-1) and a comparison with parallel tempering on boundary conditions.,full_text_manual,e6025298d818d5071c1cdcd1c9c5761f963ab5e230208c31de55963c6fcdd90a
E-P013-B,P013,2310.11979,boundary,https://arxiv.org/abs/2310.11979,sources/pdfs/2310.11979.pdf,PDF p. 1 abstract.,"It is a conference contribution on CP(N-1), and its link to SPS is a shared nonequilibrium family rather than a verified direct root citation.",full_text_manual,e6025298d818d5071c1cdcd1c9c5761f963ab5e230208c31de55963c6fcdd90a
E-P015-I,P015,2402.06561,identity,https://arxiv.org/abs/2402.06561,sources/pdfs/2402.06561.pdf,PDF p. 1 title block and current arXiv metadata,Mitigating topological freezing using out-of-equilibrium simulations,full_text_manual,f7441e1c1daf7a6f053e027ed49095e5c2df916600070b7cbe0b26877b3e7816
E-P015-P,P015,2402.06561,problem,https://arxiv.org/abs/2402.06561,sources/pdfs/2402.06561.pdf,PDF p. 1 abstract.,Mitigate topological freezing using out-of-equilibrium lattice Monte Carlo simulations.,full_text_manual,f7441e1c1daf7a6f053e027ed49095e5c2df916600070b7cbe0b26877b3e7816
E-P015-M,P015,2402.06561,method,https://arxiv.org/abs/2402.06561,sources/pdfs/2402.06561.pdf,PDF p. 1 contents and Secs. 2-3.,"Use a Jarzynski-motivated out-of-equilibrium protocol and assess its ESS, KL, topological susceptibility, autocorrelation, and efficiency.",full_text_manual,f7441e1c1daf7a6f053e027ed49095e5c2df916600070b7cbe0b26877b3e7816
E-P015-R,P015,2402.06561,result,https://arxiv.org/abs/2402.06561,sources/pdfs/2402.06561.pdf,PDF p. 1 abstract.,"For 2D CP(N-1), the reported performance is comparable to the cited parallel-tempering-on-boundary-conditions baseline.",full_text_manual,f7441e1c1daf7a6f053e027ed49095e5c2df916600070b7cbe0b26877b3e7816
E-P015-B,P015,2402.06561,boundary,https://arxiv.org/abs/2402.06561,sources/pdfs/2402.06561.pdf,PDF p. 1 abstract.,The article presents a non-ML protocol and says machine-learning combinations are future work; it is not evidence that an SNF or SPS has been tested there.,full_text_manual,f7441e1c1daf7a6f053e027ed49095e5c2df916600070b7cbe0b26877b3e7816
E-P018-I,P018,2512.19575,identity,https://arxiv.org/abs/2512.19575,sources/pdfs/2512.19575.pdf,PDF p. 1 title block and current arXiv metadata,Variational Autoregressive Networks Applied to $φ^4$ Field Theory Systems,full_text_manual,7572feab34168a4a32c01d6d2f9f00b5dd7bac62603476104e4d488363da9b96
E-P018-P,P018,2512.19575,problem,https://arxiv.org/abs/2512.19575,sources/pdfs/2512.19575.pdf,PDF p. 1 abstract.,Train and sample discrete Ising and continuous phi4 models without reference data.,full_text_manual,7572feab34168a4a32c01d6d2f9f00b5dd7bac62603476104e4d488363da9b96
E-P018-M,P018,2512.19575,method,https://arxiv.org/abs/2512.19575,sources/pdfs/2512.19575.pdf,PDF p. 1 abstract and contents Sec. 2.4.,Combine reinforcement learning with variational autoregressive networks and add single-site or block Metropolis-Hastings corrections to VAN proposals.,full_text_manual,7572feab34168a4a32c01d6d2f9f00b5dd7bac62603476104e4d488363da9b96
E-P018-R,P018,2512.19575,result,https://arxiv.org/abs/2512.19575,sources/pdfs/2512.19575.pdf,PDF p. 1 abstract.,"For the explored ranges, MH corrections reduce residual bias, results agree with standard Monte Carlo within errors, and no clear critical slowing down is observed.",full_text_manual,7572feab34168a4a32c01d6d2f9f00b5dd7bac62603476104e4d488363da9b96
E-P018-B,P018,2512.19575,boundary,https://arxiv.org/abs/2512.19575,sources/pdfs/2512.19575.pdf,PDF p. 1 abstract.,The evidence is for the reported Ising and phi4 settings and uses ESS alongside corrections; it does not itself establish a universal wall-time win.,full_text_manual,7572feab34168a4a32c01d6d2f9f00b5dd7bac62603476104e4d488363da9b96
E-P019-I,P019,2604.10209,identity,https://arxiv.org/abs/2604.10209,sources/pdfs/2604.10209.pdf,PDF p. 1 title block and current arXiv metadata,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,full_text_manual,f63310ecd3fc85390956cdbd6dac9f8676cfbc5c7060411e2fb24b9d76f7dfe1
E-P019-P,P019,2604.10209,problem,https://arxiv.org/abs/2604.10209,sources/pdfs/2604.10209.pdf,PDF p. 1 abstract and Sec. I.,Address critical slowing down and scaling limits of single-scale learned lattice samplers near criticality.,full_text_manual,f63310ecd3fc85390956cdbd6dac9f8676cfbc5c7060411e2fb24b9d76f7dfe1
E-P019-M,P019,2604.10209,method,https://arxiv.org/abs/2604.10209,sources/pdfs/2604.10209.pdf,PDF p. 1 abstract.,"Use a coarse-to-fine multiscale generative sampler with conditional Gaussian mixtures, masked continuous normalizing flows, and exact restriction maps for MLMC.",full_text_manual,f63310ecd3fc85390956cdbd6dac9f8676cfbc5c7060411e2fb24b9d76f7dfe1
E-P019-R,P019,2604.10209,result,https://arxiv.org/abs/2604.10209,sources/pdfs/2604.10209.pdf,PDF p. 1 abstract.,"For reported critical 2D phi4 studies, the method has much shorter integrated autocorrelation than HMC, high importance-sampling efficiency, and observables agreeing with long HMC simulations.",full_text_manual,f63310ecd3fc85390956cdbd6dac9f8676cfbc5c7060411e2fb24b9d76f7dfe1
E-P019-B,P019,2604.10209,boundary,https://arxiv.org/abs/2604.10209,sources/pdfs/2604.10209.pdf,PDF p. 1 abstract.,The reported numerical claim is a 2D critical-phi4 result and must not be recast as a general cost-normalized theorem.,full_text_manual,f63310ecd3fc85390956cdbd6dac9f8676cfbc5c7060411e2fb24b9d76f7dfe1
E-P020-I,P020,2605.11199,identity,https://arxiv.org/abs/2605.11199,sources/pdfs/2605.11199.pdf,PDF p. 1 title block and current arXiv metadata,Operator Spectroscopy of Trained Lattice Samplers,full_text_manual,5cd87c3a8a6ed6c2a6d8bc7a3e414e0c6fc92f3d42ac6b122270c2d643e49a96
E-P020-P,P020,2605.11199,problem,https://arxiv.org/abs/2605.11199,sources/pdfs/2605.11199.pdf,PDF p. 1 summary and Sec. I.,Expose what trained lattice samplers represent internally rather than judging them only by output ensembles.,full_text_manual,5cd87c3a8a6ed6c2a6d8bc7a3e414e0c6fc92f3d42ac6b122270c2d643e49a96
E-P020-M,P020,2605.11199,method,https://arxiv.org/abs/2605.11199,sources/pdfs/2605.11199.pdf,"PDF pp. 1-2, Secs. I-II.","Project a trained velocity, score, or learned-action residual onto symmetry-fixed operator dictionaries and retain sectors only when held-out and control tests support them.",full_text_manual,5cd87c3a8a6ed6c2a6d8bc7a3e414e0c6fc92f3d42ac6b122270c2d643e49a96
E-P020-R,P020,2605.11199,result,https://arxiv.org/abs/2605.11199,sources/pdfs/2605.11199.pdf,PDF p. 1 summary.,"The paper reports separable zero-mode and finite-momentum residual sectors in 2D phi4 and analogous diagnostics for diffusion, normalizing-flow, and gauge-equivariant teachers.",full_text_manual,5cd87c3a8a6ed6c2a6d8bc7a3e414e0c6fc92f3d42ac6b122270c2d643e49a96
E-P020-B,P020,2605.11199,boundary,https://arxiv.org/abs/2605.11199,sources/pdfs/2605.11199.pdf,PDF p. 1 summary and Sec. I.,Operator spectroscopy is a diagnostic of learned functions; it is not by itself a sampling-efficiency benchmark.,full_text_manual,5cd87c3a8a6ed6c2a6d8bc7a3e414e0c6fc92f3d42ac6b122270c2d643e49a96
E-P021-I,P021,2607.08505,identity,https://arxiv.org/abs/2607.08505,sources/pdfs/2607.08505.pdf,PDF p. 1 title block and current arXiv metadata,Diffusion Models for Sampling Near Criticality in Lattice Field Theories,full_text_manual,29e9de724ae484a7998d3044fc9e34cb8edb16e812918f71c2d57359e4d73572
E-P021-P,P021,2607.08505,problem,https://arxiv.org/abs/2607.08505,sources/pdfs/2607.08505.pdf,PDF p. 1 abstract and p. 2 Sec. I.,Assess diffusion sampling for 2D and 3D phi4 across phases and test cross-volume transfer near criticality.,full_text_manual,29e9de724ae484a7998d3044fc9e34cb8edb16e812918f71c2d57359e4d73572
E-P021-M,P021,2607.08505,method,https://arxiv.org/abs/2607.08505,sources/pdfs/2607.08505.pdf,PDF pp. 1-2.,"Train score-based reverse-SDE samplers and evaluate local score checks, MALA acceptance, HMC-referenced ESS, observable bias and variance, and cross-volume transfer.",full_text_manual,29e9de724ae484a7998d3044fc9e34cb8edb16e812918f71c2d57359e4d73572
E-P021-R,P021,2607.08505,result,https://arxiv.org/abs/2607.08505,sources/pdfs/2607.08505.pdf,PDF p. 1 abstract.,"The reported model reproduces many scalar observables and propagators; residual bias remains in the zero mode and in 3D action density, with one reported broken-phase susceptibility exception.",full_text_manual,29e9de724ae484a7998d3044fc9e34cb8edb16e812918f71c2d57359e4d73572
E-P021-B,P021,2607.08505,boundary,https://arxiv.org/abs/2607.08505,sources/pdfs/2607.08505.pdf,PDF p. 1 abstract.,"This is a July 2026 forward neighbor of SPS, and its explicit residuals show why a high summary metric alone is insufficient.",full_text_manual,29e9de724ae484a7998d3044fc9e34cb8edb16e812918f71c2d57359e4d73572
