EdgeID,SourceID,TargetID,EdgeType,DirectlyCited,EvidenceID,RelationBasis,Confidence,HumanReviewStatus,PublicGraphStatus
E026,P_ROOT,P_2502_05504,direct_citation,yes,ROOT-BIB-26,Live TeX citation at line 79; bibliography ref. 26 (Zhu:2025pmw).,high,reviewed,show
E027,P_ROOT,P_2510_26081,direct_citation,yes,ROOT-BIB-27,Live TeX citation at line 79; bibliography ref. 27 (Vega:2025hgz).,high,reviewed,show
E028,P_ROOT,P_2601_19552,direct_citation,yes,ROOT-BIB-28,Live TeX citation at line 80; bibliography ref. 28 (Aarts:2026zzr).,high,reviewed,show
E029,P_ROOT,P_2602_09045,direct_citation,yes,ROOT-BIB-29,Live TeX citation at line 80; bibliography ref. 29 (Alharazin:2026lcb).,high,reviewed,show
E030,P_ROOT,P_2605_06134,direct_citation,yes,ROOT-BIB-30,Live TeX citation at line 80; bibliography ref. 30 (Komijani:2026lan).,high,reviewed,show
E031,P_ROOT,P_2510_01328,direct_citation,yes,ROOT-BIB-31,Live TeX citation at line 81; bibliography ref. 31 (Aarts:2025lpi).,high,reviewed,show
E032,P_ROOT,P_2605_11199,direct_citation,yes,ROOT-BIB-32,Live TeX citation at line 84; bibliography ref. 32 (Qian:2026OperatorSpectroscopy).,high,reviewed,show
E033,P_ROOT,P_2111_15141,direct_citation,yes,ROOT-BIB-33,Live TeX citation at line 86; bibliography ref. 33 (zhang2022pathintegralsamplerstochastic).,high,reviewed,show
E034,P_ROOT,P_2302_13834,direct_citation,yes,ROOT-BIB-34,Live TeX citation at line 86; bibliography ref. 34 (vargas2023denoisingdiffusionsamplers).,high,reviewed,show
E035,P_ROOT,P_2211_01364,direct_citation,yes,ROOT-BIB-35,Live TeX citation at line 86; bibliography ref. 35 (berner2024optimalcontrolperspectivediffusionbased).,high,reviewed,hold
E036,P_ROOT,P_2307_01198,direct_citation,yes,ROOT-BIB-36,Live TeX citation at line 86; bibliography ref. 36 (richter2024improvedsamplinglearneddiffusions).,high,reviewed,hold
E037,P_ROOT,P_2307_01050,direct_citation,yes,ROOT-BIB-37,Live TeX citation at line 86; bibliography ref. 37 (vargas2025transportmeetsvariationalinference).,high,reviewed,hold
E038,P_ROOT,P_2410_02711,direct_citation,yes,ROOT-BIB-38,Live TeX citation at line 86; bibliography ref. 38 (Albergo:2024trn).,high,reviewed,show
E039,P_ROOT,BIB_39,direct_citation,yes,ROOT-BIB-39,Live TeX citation at line 88; bibliography ref. 39 (ColemanNoll1963).,high,reviewed,hold
E040,P_ROOT,BIB_40,direct_citation,yes,ROOT-BIB-40,Live TeX citation at line 88; bibliography ref. 40 (Kleidon2010).,high,reviewed,hold
E041,P_ROOT,BIB_41,direct_citation,yes,ROOT-BIB-41,Live TeX citation at line 88; bibliography ref. 41 (Dyke2010).,high,reviewed,hold
E042,P_ROOT,BIB_42,direct_citation,yes,ROOT-BIB-42,Live TeX citation at line 88; bibliography ref. 42 (Skinner2021).,high,reviewed,hold
E043,P_ROOT,BIB_43,direct_citation,yes,ROOT-BIB-43,Live TeX citation at line 88; bibliography ref. 43 (Karbowski2024).,high,reviewed,hold
E044,P_ROOT,BIB_44,direct_citation,yes,ROOT-BIB-44,Live TeX citation at line 88; bibliography ref. 44 (Jakimowicz2020).,high,reviewed,hold
E045,P_ROOT,BIB_45,direct_citation,yes,ROOT-BIB-45,Live TeX citation at line 88; bibliography ref. 45 (Purvis2019).,high,reviewed,hold
E046,P_ROOT,BIB_46,direct_citation,yes,ROOT-BIB-46,Live TeX citation at line 88; bibliography ref. 46 (Landauer1961).,high,reviewed,hold
E047,P_ROOT,BIB_47,direct_citation,yes,ROOT-BIB-47,Live TeX citation at line 88; bibliography ref. 47 (SagawaUeda2008).,high,reviewed,hold
E048,P_ROOT,BIB_48,direct_citation,yes,ROOT-BIB-48,Live TeX citation at line 88; bibliography ref. 48 (Parrondo2015).,high,reviewed,hold
E049,P_ROOT,BIB_49,direct_citation,yes,ROOT-BIB-49,Live TeX citation at line 91; bibliography ref. 49 (Parisi:1980ys).,high,reviewed,hold
E050,P_ROOT,BIB_50,direct_citation,yes,ROOT-BIB-50,Live TeX citation at line 91; bibliography ref. 50 (Damgaard:1987rr).,high,reviewed,hold
E051,P_ROOT,BIB_51,direct_citation,yes,ROOT-BIB-51,Live TeX citation at line 112; bibliography ref. 51 (bengio2021gflownet).,high,reviewed,hold
E052,P_ROOT,BIB_52,direct_citation,yes,ROOT-BIB-52,Live TeX citation at line 112; bibliography ref. 52 (bengio2023gfnfoundations).,high,reviewed,hold
E053,P_ROOT,BIB_53,direct_citation,yes,ROOT-BIB-53,Live TeX citation at line 112; bibliography ref. 53 (malkin2022trajectory).,high,reviewed,hold
E054,P_ROOT,BIB_54,direct_citation,yes,ROOT-BIB-54,Live TeX citation at line 155; bibliography ref. 54 (Pachter2024).,high,reviewed,hold
E055,P_ROOT,BIB_55,direct_citation,yes,ROOT-BIB-55,Live TeX citation at line 193; bibliography ref. 55 (roberts1998optimal).,high,reviewed,hold
E056,P_ROOT,BIB_56,direct_citation,yes,ROOT-BIB-56,Live TeX citation at line 193; bibliography ref. 56 (girolami2011riemann).,high,reviewed,hold
E057,P_ROOT,BIB_57,direct_citation,yes,ROOT-BIB-57,Live TeX citation at line 251; bibliography ref. 57 (kullback1951information).,high,reviewed,hold
E058,P_ROOT,BIB_58,direct_citation,yes,ROOT-BIB-58,Live TeX citation at line 261; bibliography ref. 58 (Jarzynski:2013qyb).,high,reviewed,hold
E059,P_2111_15141,P_ROOT,method_precedent,no,EXT-059,Path-space stochastic-control sampler precedes SPS.,high,reviewed,show
E060,P_2302_13834,P_ROOT,method_precedent,no,EXT-060,Path-space KL diffusion sampler precedes SPS.,high,reviewed,show
E061,P_2410_02711,P_ROOT,conceptual_neighbor,no,EXT-061,Nonequilibrium learned transport with work weights.,high,reviewed,show
E062,P_2605_12597,P_ROOT,baseline_comparison,no,EXT-062,Adversarial theory result on critical slowing in diffusion.,high,reviewed,show
E063,P_2604_10209,P_ROOT,baseline_comparison,no,EXT-063,External multiscale near-critical baseline.,high,reviewed,show
E064,P_2607_08505,P_ROOT,baseline_comparison,no,EXT-064,External cross-volume transfer baseline after root publication.,high,reviewed,show
E065,P_2607_08505,P_ROOT,forward_citation,yes,FWD-2607-REF40,"Bibliography reference 40 on PDF p.38 names SPS/arXiv:2606.13790; no [40] citation occurs in the body, so this is bibliography-only.",high,reviewed,hold
