CandidateID,QueryID,Title,Year,DOI,SourceID,PrimaryURL,Decision,Reason,EvidenceLevel
C0012,F01,Learning lattice quantum field theories with equivariant continuous flows,2023,https://doi.org/10.21468/scipostphys.15.6.238,https://openalex.org/W4389674942,https://doi.org/10.21468/scipostphys.15.6.238,include_screen,Title matches LFT/sampler scope.,metadata
C0013,F01,Stochastic Path Sampler For Lattice Field Theory,2026,,https://openalex.org/W7164973951,https://arxiv.org/abs/2606.13790,include_screen,Title matches LFT/sampler scope.,metadata
C0014,F01,Bayesian Inference in Hidden Markov Random Fields for Binary Data Defined on Large Lattices,2009,https://doi.org/10.1198/jcgs.2009.06148,https://openalex.org/W2122809012,https://doi.org/10.1198/jcgs.2009.06148,include_screen,Title matches LFT/sampler scope.,metadata
C0015,F01,Random walks and diffusion on networks,2017,https://doi.org/10.1016/j.physrep.2017.07.007,https://openalex.org/W2566971417,https://doi.org/10.1016/j.physrep.2017.07.007,monitor,Adjacent method/failure term; retain for monitoring.,metadata
C0016,F01,Stochastic normalizing flows for lattice field theory,2022,https://doi.org/10.22323/1.430.0005,https://openalex.org/W4311845634,https://doi.org/10.22323/1.430.0005,include_screen,Title matches LFT/sampler scope.,metadata
C0017,F01,Learning trivializing gradient flows for lattice gauge theories,2023,https://doi.org/10.1103/physrevd.107.l051504,https://openalex.org/W4327938911,https://doi.org/10.1103/physrevd.107.l051504,include_screen,Title matches LFT/sampler scope.,metadata
C0018,F01,Sampling-Based Robot Motion Planning: A Review,2014,https://doi.org/10.1109/access.2014.2302442,https://openalex.org/W2055201760,https://doi.org/10.1109/access.2014.2302442,include_screen,Title matches LFT/sampler scope.,metadata
C0019,F01,"Quantum Optimization: Potential, Challenges, and the Path Forward",2023,https://doi.org/10.2172/2229681,https://openalex.org/W4389750777,https://doi.org/10.2172/2229681,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0020,F01,Flow-based sampling in the lattice Schwinger model at criticality,2022,https://doi.org/10.1103/physrevd.106.014514,https://openalex.org/W4288702334,https://doi.org/10.1103/physrevd.106.014514,include_screen,Title matches LFT/sampler scope.,metadata
C0021,F01,"Sampling using<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>SU</mml:mi><mml:mo stretchy=""false"">(</mml:mo><mml:mi>N</mml:mi><mml:mo stretchy=""false"">)</mml:mo></mml:mrow></mml:math>gauge equivariant flows",2021,https://doi.org/10.1103/physrevd.103.074504,https://openalex.org/W3048457240,https://doi.org/10.1103/physrevd.103.074504,include_screen,Title matches LFT/sampler scope.,metadata
C0022,F01,Long-term time-dependent stochastic modelling of extreme waves,2010,https://doi.org/10.1007/s00477-010-0431-y,https://openalex.org/W2060224627,https://doi.org/10.1007/s00477-010-0431-y,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0023,F01,Gauge-invariant and anyonic-symmetric autoregressive neural network for quantum lattice models,2023,https://doi.org/10.1103/physrevresearch.5.013216,https://openalex.org/W4361297350,https://doi.org/10.1103/physrevresearch.5.013216,include_screen,Title matches LFT/sampler scope.,metadata
C0024,F05,"Stochastic Relaxation, Gibbs Distributions, and the Bayesian Restoration of Images",1984,https://doi.org/10.1109/tpami.1984.4767596,https://openalex.org/W2020999234,https://doi.org/10.1109/tpami.1984.4767596,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0025,F05,An Introduction to Symbolic Dynamics and Coding,1995,https://doi.org/10.1017/9781108899727,https://openalex.org/W1565611252,https://doi.org/10.1017/9781108899727,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0026,F05,Automatic linguistic indexing of pictures by a statistical modeling approach,2003,https://doi.org/10.1109/tpami.2003.1227984,https://openalex.org/W2150692003,https://doi.org/10.1109/tpami.2003.1227984,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0027,F05,Interaction of Markov processes,1970,https://doi.org/10.1016/0001-8708(70)90034-4,https://openalex.org/W4213265037,https://doi.org/10.1016/0001-8708(70)90034-4,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0028,F05,Thermodynamic Formalism,2004,https://doi.org/10.1017/cbo9780511617546,https://openalex.org/W4238113606,https://doi.org/10.1017/cbo9780511617546,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0029,F05,Quantum equilibrium and the origin of absolute uncertainty,1992,https://doi.org/10.1007/bf01049004,https://openalex.org/W2141630748,https://doi.org/10.1007/bf01049004,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0030,F05,Classification in Networked Data: A Toolkit and a Univariate Case Study,2007,https://doi.org/10.5555/1248659.1248693,https://openalex.org/W2137253512,https://archive.nyu.edu/bitstream/2451/14122/1/CeDER-04-08-2.pdf,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0031,F05,Random economies with many interacting agents,1974,https://doi.org/10.1016/0304-4068(74)90035-4,https://openalex.org/W2006296538,https://doi.org/10.1016/0304-4068(74)90035-4,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0032,F05,Regularity properties and pathologies of position-space renormalization-group transformations: Scope and limitations of Gibbsian theory,1993,https://doi.org/10.1007/bf01048183,https://openalex.org/W2600289236,https://doi.org/10.1007/bf01048183,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0033,F05,On-the-fly closed-loop materials discovery via Bayesian active learning,2020,https://doi.org/10.1038/s41467-020-19597-w,https://openalex.org/W3034954837,https://doi.org/10.1038/s41467-020-19597-w,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0034,F05,Statistical Mechanics of Lattice Systems,2017,https://doi.org/10.1017/9781316882603,https://openalex.org/W2765846489,https://doi.org/10.1017/9781316882603,include_screen,Title matches LFT/sampler scope.,metadata
C0035,F05,Discontinuity of the magnetization in one-dimensional 1/�x?y�2 Ising and Potts models,1988,https://doi.org/10.1007/bf01022985,https://openalex.org/W2117802905,https://doi.org/10.1007/bf01022985,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0036,F05,Foundations of Statistical Mechanics,1970,https://doi.org/10.1016/c2013-0-02200-1,https://openalex.org/W2080278546,https://doi.org/10.1016/c2013-0-02200-1,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0037,F05,Some systems with unique equilibrium states,1974,https://doi.org/10.1007/bf01762666,https://openalex.org/W2058557176,https://doi.org/10.1007/bf01762666,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0038,F05,Thermodynamic formalism for countable Markov shifts,1999,https://doi.org/10.1017/s0143385799146820,https://openalex.org/W2089020156,https://doi.org/10.1017/s0143385799146820,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0039,F05,Entropy and equilibrium states in classical statistical mechanics,2007,https://doi.org/10.1007/bfb0112756,https://openalex.org/W1561968718,https://doi.org/10.1007/bfb0112756,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0040,F05,Mathematics of Two-Dimensional Turbulence,2012,https://doi.org/10.1017/cbo9781139137119,https://openalex.org/W125580901,https://doi.org/10.1017/cbo9781139137119,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0041,F05,Rigorous Inequalities Between Length and Time Scales in Glassy Systems,2006,https://doi.org/10.1007/s10955-006-9175-y,https://openalex.org/W2023313458,https://doi.org/10.1007/s10955-006-9175-y,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0042,F05,Diffuse x-ray scattering and models of disorder,1985,https://doi.org/10.1088/0034-4885/48/11/002,https://openalex.org/W2076672847,https://doi.org/10.1088/0034-4885/48/11/002,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0043,F05,Gibbs and Markov random systems with constraints,1974,https://doi.org/10.1007/bf01011714,https://openalex.org/W2029668118,https://doi.org/10.1007/bf01011714,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0044,F05,Central limit theorems and uniform laws of large numbers for arrays of random fields,2009,https://doi.org/10.1016/j.jeconom.2009.02.009,https://openalex.org/W1991449081,https://doi.org/10.1016/j.jeconom.2009.02.009,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0045,F05,Integral and Differential Characterizations of the GIBBS Process,1979,https://doi.org/10.1002/mana.19790880109,https://openalex.org/W2167463576,https://doi.org/10.1002/mana.19790880109,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0046,F05,Parametric Inference for imperfectly observed Gibbsian fields,1989,https://doi.org/10.1007/bf00341287,https://openalex.org/W2043285245,https://doi.org/10.1007/bf00341287,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0047,F05,Markov Random Fields and Gibbs Ensembles,1971,https://doi.org/10.1080/00029890.1971.11992710,https://openalex.org/W1972212960,https://doi.org/10.1080/00029890.1971.11992710,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0048,F05,Thermodynamic Formalism : The Mathematical Structure of Equilibrium Statistical Mechanics,2004,,https://openalex.org/W629383433,https://ci.nii.ac.jp/ncid/BA69190541,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0049,F05,The strategy for computing the hadronic mass spectrum,1984,https://doi.org/10.1016/0370-1573(84)90081-4,https://openalex.org/W1993142206,https://doi.org/10.1016/0370-1573(84)90081-4,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0050,F05,On the convergence of markovian stochastic algorithms with rapidly decreasing ergodicity rates,1999,https://doi.org/10.1080/17442509908834179,https://openalex.org/W1990838964,https://doi.org/10.1080/17442509908834179,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0051,F05,Graph Homomorphisms and Phase Transitions,1999,https://doi.org/10.1006/jctb.1999.1899,https://openalex.org/W2056262613,https://doi.org/10.1006/jctb.1999.1899,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0052,F05,Generating functions for enumerating self-avoiding rings on the square lattice,1980,https://doi.org/10.1088/0305-4470/13/12/021,https://openalex.org/W2063682545,https://doi.org/10.1088/0305-4470/13/12/021,include_screen,Title matches LFT/sampler scope.,metadata
C0053,F05,On Pure Phases of the Ising Model on the Bethe Lattices,1991,https://doi.org/10.1137/1135031,https://openalex.org/W1993576330,https://doi.org/10.1137/1135031,include_screen,Title matches LFT/sampler scope.,metadata
C0054,F05,Markov Random Fields in Image Segmentation,2012,https://doi.org/10.1561/2000000035,https://openalex.org/W2019792447,https://doi.org/10.1561/2000000035,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0055,F05,Cautious Collective Classification,2009,https://doi.org/10.5555/1577069.1755879,https://openalex.org/W2100045227,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.170.9461,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0056,F05,Do turbulent crystals exist?,1982,https://doi.org/10.1016/0378-4371(82)90161-3,https://openalex.org/W2090111809,https://doi.org/10.1016/0378-4371(82)90161-3,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0057,F05,Every “lower psi-mixing” Markov chain is “interlaced rho-mixing”,1997,https://doi.org/10.1016/s0304-4149(97)00090-2,https://openalex.org/W2051035252,https://doi.org/10.1016/s0304-4149(97)00090-2,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0058,F05,Proof of the charge superselection rule in local relativistic quantum field theory,1974,https://doi.org/10.1063/1.1666601,https://openalex.org/W2021967765,https://doi.org/10.1063/1.1666601,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0059,F05,A measurement of the string tension near the continuum limit,1983,https://doi.org/10.1016/0370-2693(83)90930-9,https://openalex.org/W2066098600,https://doi.org/10.1016/0370-2693(83)90930-9,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0060,F05,Partial volume tissue classification of multichannel magnetic resonance images-a mixel model,1991,https://doi.org/10.1109/42.97590,https://openalex.org/W2171765626,https://doi.org/10.1109/42.97590,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0061,F05,An itinerant electron model with crystalline or magnetic long range order,1986,https://doi.org/10.1016/0378-4371(86)90188-3,https://openalex.org/W1964810115,https://doi.org/10.1016/0378-4371(86)90188-3,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0062,F05,The statistical analysis of spatial pattern,1974,https://doi.org/10.2307/1426297,https://openalex.org/W2041295559,https://doi.org/10.2307/1426297,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0063,F05,Absence of phase transition for antiferromagnetic Potts models via the Dobrushin uniqueness theorem,1997,https://doi.org/10.1007/bf02199113,https://openalex.org/W2012032973,https://doi.org/10.1007/bf02199113,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0064,F05,Statistical mechanics of probabilistic cellular automata,1990,https://doi.org/10.1007/bf01015566,https://openalex.org/W2063089780,https://doi.org/10.1007/bf01015566,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0065,F05,Gibbs State Describing Coexistence of Phases for a Three-Dimensional Ising Model,1973,https://doi.org/10.1137/1117073,https://openalex.org/W1998228578,https://doi.org/10.1137/1117073,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0066,F05,Translation invariance and instability of phase coexistence in the two dimensional Ising system,1980,https://doi.org/10.1007/bf01942696,https://openalex.org/W1971837735,https://doi.org/10.1007/bf01942696,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0067,F05,Towards a theory of landscapes,2008,https://doi.org/10.1007/bfb0103571,https://openalex.org/W1616786285,https://doi.org/10.1007/bfb0103571,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0068,F07,Physics-conditioned diffusion models for lattice gauge theory,2026,https://doi.org/10.1007/jhep03(2026)111,https://openalex.org/W7135020858,https://doi.org/10.1007/jhep03(2026)111,include_screen,Title matches LFT/sampler scope.,metadata
C0069,F07,Rudraksh: A compact and lightweight post-quantum key-encapsulation mechanism,2025,https://doi.org/10.48550/arxiv.2501.13799,https://openalex.org/W4406794538,http://arxiv.org/abs/2501.13799,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0070,F07,Electrochemical phosphorus removal and recovery,2019,https://doi.org/10.18174/496730,https://openalex.org/W2997095629,https://doi.org/10.18174/496730,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0071,F07,Long Range Hybrid Plasmonics,2013,,https://openalex.org/W2623309117,http://hdl.handle.net/1807/69981,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0072,F07,"On Ants, Islands and Evolution",2015,,https://openalex.org/W2519584046,http://www.lib.ncsu.edu/resolver/1840.16/10777,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0073,F08,Generative Diffusion Models for Lattice Field Theory,2023,https://doi.org/10.48550/arxiv.2311.03578,https://openalex.org/W4388515621,http://arxiv.org/abs/2311.03578,include_screen,Title matches LFT/sampler scope.,metadata
C0074,F08,Diffusion models and stochastic quantisation in lattice field theory,2025,https://doi.org/10.22323/1.466.0037,https://openalex.org/W4406704747,https://doi.org/10.22323/1.466.0037,include_screen,Title matches LFT/sampler scope.,metadata
C0075,F08,Heavy quark diffusion coefficient with gradient flow,2023,https://doi.org/10.1103/physrevd.107.054508,https://openalex.org/W4353064323,https://doi.org/10.1103/physrevd.107.054508,monitor,Adjacent method/failure term; retain for monitoring.,metadata
C0076,F08,Tachyonic preheating using 2PI-1/N dynamics and the classical approximation,2004,https://doi.org/10.1088/1126-6708/2004/10/017,https://openalex.org/W2042785466,https://doi.org/10.1088/1126-6708/2004/10/017,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0077,F08,QCD thermalization: <i>Ab initio</i> approaches and interdisciplinary connections,2021,https://doi.org/10.1103/revmodphys.93.035003,https://openalex.org/W3030284184,https://doi.org/10.1103/revmodphys.93.035003,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0078,F08,Reconstructing lattice QCD spectral functions with stochastic pole expansion and Nevanlinna analytic continuation,2024,https://doi.org/10.1103/physrevd.109.054508,https://openalex.org/W4392911175,https://doi.org/10.1103/physrevd.109.054508,include_screen,Title matches LFT/sampler scope.,metadata
C0079,F08,Shear viscosity of a classical Yang-Mills field,2020,https://doi.org/10.1103/physrevd.102.114503,https://openalex.org/W3042421934,https://doi.org/10.1103/physrevd.102.114503,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0080,F08,Sphaleron rate in lattice gluodynamics,2019,https://doi.org/10.22323/1.336.0147,https://openalex.org/W2976511025,https://doi.org/10.22323/1.336.0147,include_screen,Title matches LFT/sampler scope.,metadata
C0081,F08,Electrical conductivity of the quark-gluon plasma in the presence of strong magnetic fields,2025,https://doi.org/10.1103/physrevd.111.034505,https://openalex.org/W4400105125,https://doi.org/10.1103/physrevd.111.034505,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0082,F08,Transport and spectral functions in high-temperature QCD,2008,https://doi.org/10.22323/1.042.0001,https://openalex.org/W2964152414,https://doi.org/10.22323/1.042.0001,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0083,F08,Holographic meson melting,2007,https://doi.org/10.1088/1126-6708/2007/04/031,https://openalex.org/W1972229054,https://doi.org/10.1088/1126-6708/2007/04/031,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0084,F08,Fate of in-medium heavy quarks via a Lindblad equation,2017,https://doi.org/10.1007/jhep08(2017)064,https://openalex.org/W2612660495,https://doi.org/10.1007/jhep08(2017)064,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0085,F08,Transverse momentum broadening of high-energy partons from 3D lattice EQCD simulations,2020,https://doi.org/10.25534/tuprints-00013254,https://openalex.org/W3065951921,,include_screen,Title matches LFT/sampler scope.,metadata
C0086,F08,"Deconfinement transition line with the complex Langevin equation up to <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>μ</mml:mi><mml:mo stretchy=""false"">/</mml:mo><mml:mi>T</mml:mi><mml:mo>∼</mml:mo><mml:mn>5</mml:mn></mml:math>",2020,https://doi.org/10.1103/physrevd.102.014515,https://openalex.org/W3015858461,https://doi.org/10.1103/physrevd.102.014515,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0087,F08,The effect of vorticity on the dynamical magnetic fields in heavy-ion collisions,2024,https://doi.org/10.48550/arxiv.2408.14077,https://openalex.org/W4402703711,http://arxiv.org/abs/2408.14077,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0088,F08,High Temperature QCD,2012,https://doi.org/10.22323/1.164.0016,https://openalex.org/W1753578492,https://doi.org/10.22323/1.164.0016,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0089,F08,Electromagnetic conductivity of quark-gluon plasma at non-zero baryon density,2022,https://doi.org/10.22323/1.396.0119,https://openalex.org/W3207349710,https://doi.org/10.22323/1.396.0119,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0090,F08,Diffusion model for SU(N) gauge theories,2026,,https://openalex.org/W7160726880,https://arxiv.org/abs/2605.06134,monitor,Adjacent method/failure term; retain for monitoring.,metadata
C0091,F08,A synchrotron small-angle X-ray scattering study of order/disorder in colloidal crystals,2004,,https://openalex.org/W1583930169,https://dspace.library.uu.nl/handle/1874/783,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0092,F08,Meson spectroscopy at non-zero temperature using lattice QCD,2023,https://doi.org/10.23889/suthesis.62707,https://openalex.org/W4321452416,http://dx.doi.org/10.23889/suthesis.62707,include_screen,Title matches LFT/sampler scope.,metadata
C0093,F08,Physics and technology development of multilayer EUV reflective optics,2012,https://doi.org/10.3990/1.9789090271637,https://openalex.org/W99709937,https://doi.org/10.3990/1.9789090271637,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0094,F08,Non-equilibrium Field Theory of Condensed Matter Systems - Periodic Driving and Quantum Quenches,2018,,https://openalex.org/W2919771501,http://mediatum.ub.tum.de/node?id=1455522,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0095,F08,A correspondence between neural networks and quantum field theory,2022,https://doi.org/10.17760/d20439251,https://openalex.org/W4292939164,https://doi.org/10.17760/d20439251,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0096,F08,Real-Time lattice simulations of the glasma coupled to fermions,2024,https://doi.org/10.21248/gups.81898,https://openalex.org/W4391362326,http://dx.doi.org/10.21248/gups.81898,include_screen,Title matches LFT/sampler scope.,metadata
C0097,F08,Heavy quark systems at finite temperature from lattice QCD,2015,https://doi.org/10.15476/elte.2015.054,https://openalex.org/W2743532693,http://dx.doi.org/10.15476/elte.2015.054,include_screen,Title matches LFT/sampler scope.,metadata
C0098,F09,Phase Transitions in Particle Physics,2023,https://doi.org/10.1016/j.ppnp.2023.104070,https://openalex.org/W4384780405,https://doi.org/10.1016/j.ppnp.2023.104070,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0099,F09,Learning Trivializing Flows in a $\phi^4$ theory from coarser lattices,2023,https://doi.org/10.22323/1.453.0013,https://openalex.org/W4390268928,https://doi.org/10.22323/1.453.0013,include_screen,Title matches LFT/sampler scope.,metadata
C0100,F09,Persistent homology as a probe for center vortices and deconfinement in SU(2) lattice gauge theory,2022,https://doi.org/10.22323/1.430.0387,https://openalex.org/W4310360682,https://doi.org/10.22323/1.430.0387,include_screen,Title matches LFT/sampler scope.,metadata
C0101,F09,Phase Transitions in Particle Physics -- Results and Perspectives from Lattice Quantum Chromo-Dynamics,2023,https://doi.org/10.48550/arxiv.2301.04382,https://openalex.org/W4315881573,http://arxiv.org/abs/2301.04382,include_screen,Title matches LFT/sampler scope.,metadata
C0102,F09,A streamlined quantum algorithm for topological data analysis with exponentially fewer qubits,2026,https://doi.org/10.22331/q-2026-04-10-2058,https://openalex.org/W4297411649,https://doi.org/10.22331/q-2026-04-10-2058,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0103,F09,"Theory, phenomenology, and experimental avenues for dark showers",2022,https://doi.org/10.1140/epjc/s10052-022-11048-8,https://openalex.org/W4226355682,https://biblio.vub.ac.be/vubir/(4301b94e-4c0d-4017-850f-758519f903a9).html,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0104,F09,Learning Trivializing Flows in a $ϕ^4$ theory from coarser lattices,2023,https://doi.org/10.48550/arxiv.2310.03381,https://openalex.org/W4387427736,http://arxiv.org/abs/2310.03381,include_screen,Title matches LFT/sampler scope.,metadata
C0105,F09,Quantum field-theoretic machine learning and the renormalization group,2022,https://doi.org/10.23889/suthesis.60555,https://openalex.org/W4285999726,https://doi.org/10.23889/suthesis.60555,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0106,F09,Inferring the Isotropic-nematic Phase Transition with Generative Machine Learning,2024,https://doi.org/10.48550/arxiv.2410.21034,https://openalex.org/W4404317995,http://arxiv.org/abs/2410.21034,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0107,F09,Generalizable Equivariant Diffusion Models for Non-Abelian Lattice Gauge Theory,2026,,https://openalex.org/W7126001245,http://arxiv.org/abs/2601.19552,include_screen,Title matches LFT/sampler scope.,metadata
C0108,F09,N = 1 supersymmetric Yang-Mills theory and adjoint QCD on the lattice,2020,https://doi.org/10.22032/dbt.46754,https://openalex.org/W3101414257,http://uri.gbv.de/document/gvk:ppn:1738268055,include_screen,Title matches LFT/sampler scope.,metadata
C0109,F09,"Exotic decays and collider signatures of pseudo-Nambu-Goldstone bosons in the <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""> <mml:mrow> <mml:mi>S</mml:mi> <mml:mi>U</mml:mi> <mml:mo stretchy=""false"">(</mml:mo> <mml:mn>5</mml:mn> <mml:mo stretchy=""false"">)</mml:mo> <mml:mo>/</mml:mo> <mml:mi>S</mml:mi> <mml:mi>O</mml:mi> <mml:mo stretchy=""false"">(</mml:mo> <mml:mn>5</mml:mn> <mml:mo stretchy=""false"">)</mml:mo> </mml:mrow> </mml:math> composite Higgs model",2025,https://doi.org/10.1103/l3m1-hr48,https://openalex.org/W7116871445,https://doi.org/10.1103/l3m1-hr48,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0110,F09,Topological Data Analysis of Abelian Magnetic Monopoles in Gauge Theories,2025,https://doi.org/10.22323/1.466.0395,https://openalex.org/W4407644259,https://doi.org/10.22323/1.466.0395,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0111,F09,Applications of Topological Data Analysis to Statistical Physics and Quantum Field Theories,2022,https://doi.org/10.23889/suthesis.61816,https://openalex.org/W4308585009,https://doi.org/10.23889/suthesis.61816,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0112,F09,Platform Independent Profiling of a QCD Code,2017,https://doi.org/10.22323/1.256.0390,https://openalex.org/W3049646419,https://doi.org/10.22323/1.256.0390,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0113,F09,Constrained curve fitting for semi-parametric models with radial basis function networks,2024,,https://openalex.org/W4391632084,http://arxiv.org/abs/2402.04175,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0114,F09,An Algebraic Introduction to Persistence,2026,,https://openalex.org/W7153670095,https://arxiv.org/abs/2604.07022,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0115,F09,"Theory, phenomenology, and experimental avenues for dark showers: a Snowmass 2021 report",2022,https://doi.org/10.1140/epjc/s10052-022-11048-8,https://openalex.org/W4221165100,https://doi.org/10.1140/epjc/s10052-022-11048-8,exclude,Search noise outside SPS/LFT sampling scope.,metadata
