paper_id,arxiv_id,title,authors,year,family,broad_cluster,source_relation,problem,problem_anchor,method,method_anchor,correction_exactness,result,result_anchor,limitation,limitation_anchor,review_status,source_url,discovered_primary_url,pdf_path,pdf_pages,source_pdf_sha256,selection_reason,dijkstra_rank,dijkstra_distance
P011,2106.05934,Flow-based sampling for fermionic lattice field theories,Michael S. Albergo; Gurtej Kanwar; Sébastien Racanière; Danilo J. Rezende; Julian M. Urban; Denis Boyda; Kyle Cranmer; Daniel C. Hackett; Phiala E. Shanahan,2021,fermion_flow,Normalizing flows,direct_bibliography,Extend flow-based sampling from bosonic fields to theories with dynamical fermions and nonlocal determinants.,PDF p.1 abstract,"Construct joint, marginal and pseudofermion-conditioned flow models and test them in a 2D Yukawa system.",PDF theory/method sections,Reweighting or Metropolis correction retains target exactness for tractable flow densities.,The proof of principle reproduces observables in a dynamical-fermion lattice example.,"PDF results, around pp.8-20",The study does not establish realistic 4D QCD scaling; pseudofermion variance and determinant/nonlocal costs remain central.,PDF conclusion,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2106.05934,http://arxiv.org/abs/2106.05934v2,sources/pdfs/2106.05934.pdf,25,ea75b10a32baf6510c3b1d3696759c6e1c4be346d1e257e5b43282ca64c909ac,dijkstra_method_quota:flow,53,1.281777
P012,2311.03578,Generative Diffusion Models for Lattice Field Theory,Lingxiao Wang; Gert Aarts; Kai Zhou,2023,lattice_diffusion,Diffusion,author_context,Connect diffusion generative models to lattice stochastic quantization and test whether they can serve as global proposals.,PDF p.1 abstract,Learn the reverse diffusion / score process in a toy model and 2D phi4 theory.,PDF pp.2-4 method,The main generated ensemble is approximate; the paper discusses accept-reject correction as an optional exact step.,The model reproduces tested observables and can reduce chain autocorrelation when used as a global sampler.,PDF pp.3-5 results,"The demonstrations are toy/2D, require training configurations, and leave data-free training, gauge fields, fermions and sign problems open.",PDF pp.5-6 conclusion,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2311.03578,http://arxiv.org/abs/2311.03578,sources/pdfs/2311.03578.pdf,6,bf6e772c236bcaec0901f01be734f24914bf66d9380cd2ed7ddf9c3635c4b3df,dijkstra_method_quota:diffusion,14,1.057259
P013,2502.05504,Physics-Conditioned Diffusion Models for Lattice Gauge Theory,Qianteng Zhu; Gert Aarts; Wei Wang; Kai Zhou; Lingxiao Wang,2025,lattice_diffusion,Diffusion,direct_bibliography,Generate gauge configurations across couplings while respecting gauge structure and reducing topological freezing.,PDF p.1 abstract,Train a physics-conditioned diffusion model and use annealed Langevin / Metropolis-adjusted Langevin updates in 2D U(1).,PDF pp.3-8 method,MALA provides an exact target-preserving correction when used; raw diffusion output alone is approximate.,The conditioned model transfers across couplings/lattice settings and improves topological exploration in the reported tests.,PDF results sections,"Training-data topology can bias the model; non-Abelian groups, fermion nonlocality and large-volume cost remain open.",PDF pp.15-16 conclusion,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2502.05504,http://arxiv.org/abs/2502.05504,sources/pdfs/2502.05504.pdf,28,0b9548d039926d29e6e89f60fa806d22681f4079c78936f901fdb5aca12b87fa,dijkstra_method_quota:diffusion,30,1.219445
P014,2510.21330,SCORENF: Score-based Normalizing Flows for Sampling Unnormalized distributions,Vikas Kanaujia; Vipul Arora,2025,score_flow,Normalizing flows,external_extension,Avoid mode collapse and mode covering when learning unnormalized multimodal targets from limited data.,PDF p.1 abstract,"Train an invertible normalizing flow with score-based and reverse-KL terms, then use it as an IMH proposal.",PDF pp.1-4 method,IMH gives asymptotically unbiased target samples; the learned flow alone can retain support errors.,"ScoreNF improves the reported NLL/RNLL balance, ESS and acceptance on Gaussian mixtures and a 64-dimensional phi4 example.",PDF pp.3-5 tables/results,It still relies on target samples for score estimation and is only tested on modest systems; larger symmetric systems are future work.,PDF p.5 conclusion,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2510.21330,http://arxiv.org/abs/2510.21330v1,sources/pdfs/2510.21330.pdf,5,7ac19accf5bdd3497d3ee8af910518a0bec1194629d9c18368896e2956dd8689,dijkstra_method_quota:diffusion,63,1.339445
P015,2605.06134,Diffusion model for SU(N) gauge theories,Javad Komijani; Marina K. Marinkovic; Lara Turgut,2026,lattice_diffusion,Diffusion,direct_bibliography,Build diffusion samplers directly on non-Abelian SU(N) gauge manifolds while preserving gauge symmetry.,PDF p.1 abstract,Use implicit score matching with a gauge-equivariant U-Net and a predictor-corrector/Hamiltonian refinement.,PDF method sections,"The corrector reduces residual error, but exactness and cost depend on the implemented target-preserving step.",The paper demonstrates 2D and 4D SU(3)-family gauge sampling with improved observables after correction.,PDF results sections,Correction raises computational cost; large-volume/continuum efficiency and richer gauge dynamics remain unresolved.,PDF conclusion,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2605.06134,https://arxiv.org/abs/2605.06134,sources/pdfs/2605.06134.pdf,23,7b2695ebaa774b7eeb7cada771068461248361495975bd440ff5a2ceee97a4de,dijkstra_method_quota:diffusion,90,1.423775
P016,2003.06413,Equivariant flow-based sampling for lattice gauge theory,Gurtej Kanwar; Michael S. Albergo; Denis Boyda; K. Cranmer; Daniel C. Hackett; Sébastien Racanière; Danilo Jimenez Rezende; Phiala E. Shanahan,2020,gauge_flow_foundation,Normalizing flows,direct_bibliography,Topological freezing makes gauge-field MCMC inefficient toward the continuum limit.,PDF p.1 abstract,Construct gauge-equivariant normalizing-flow coupling layers and use them as independence-Metropolis proposals in 2D U(1).,PDF pp.2-4 method,Metropolis correction makes estimates asymptotically exact.,"For the tested beta=7, 16x16 setup, topological autocorrelation is far smaller than HMC/heat bath and the paper reports large efficiency gains for topological observables.",PDF pp.4-5 results,This is an Abelian 2D proof of principle; expressive invertible kernels for non-Abelian theories and full scaling remained future work.,PDF p.5 summary,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2003.06413,https://hdl.handle.net/1721.1/134400,sources/pdfs/2003.06413.pdf,6,6f5d0bb1effda44b3fcb55d40ba679495428944a8988c71c61e7ccf19258d1f4,dijkstra_method_quota:gauge,58,1.32889
P017,2202.11712,Flow-based sampling in the lattice Schwinger model at criticality,"Albergo, Michael S. and Boyda, Denis and Cranmer, Kyle and Hackett, Daniel C. and Kanwar, Gurtej and Racani \`e re, S \'e bastien and Rezende, Danilo J. and Romero-L \'o pez, Fernando and Shanahan, Phiala E. and Urban, Julian M.",2022,fermion_flow,Fermion and gauge applications,direct_bibliography,Sample all topological sectors of the critical lattice Schwinger model when conventional HMC streams can freeze and underestimate uncertainty.,PDF p.1 abstract and introduction,Train a symmetry-aware flow and use it inside an exact flow-based MCMC sampler for the fermionic gauge theory.,PDF pp.1-3,"The accept-reject construction is target-correct, but this implementation evaluates the fermion determinant exactly.","At the tested critical parameters, the paper reports frequent topological tunneling and an estimated sampling-efficiency advantage of more than three orders of magnitude over its HMC setup.",PDF pp.3-4,"The comparison excludes full setup and raw computational costs, and exact determinant evaluation is not scalable to large volumes or higher dimensions.",PDF p.4 conclusion and outlook,new_full_text_review_current_run,https://arxiv.org/abs/2202.11712,https://arxiv.org/abs/2202.11712,sources/pdfs/2202.11712.pdf,8,8586e34ea00b8a83522e6b83b55e05404df7129ed95bda97a218b12fcfb44fe8,dijkstra_method_quota:fermion,74,1.409158
P018,2110.02673,Scaling Up Machine Learning For Quantum Field Theory with Equivariant Continuous Flows,Pim de Haan and Corrado Rainone and Miranda C. N. Cheng and Roberto Bondesan,2021,equivariant_continuous_flow,Scaling and architecture,direct_bibliography,Improve the scaling and sampling efficiency of flow models as lattice size grows.,PDF p.1 abstract and pp.1-2 introduction,Use a shallow symmetry-aware continuous normalizing flow based on a neural ODE and handcrafted equivariant features.,PDF pp.3-5,"The tractable flow provides independent proposals that can be Metropolis-Hastings corrected; the reported ESS describes proposal quality, not proof of universal efficiency.","On the paper's largest 32 by 32 phi4 lattice, the abstract reports ESS increasing from 1 percent for the RealNVP baseline to 66 percent for the proposed model.",PDF p.1 abstract and pp.5-7 experiments,The tests use a simple scalar theory; systematic scaling and locally gauge-equivariant extensions needed for QCD remain future work.,PDF p.7 conclusion,new_full_text_review_current_run,https://arxiv.org/abs/2110.02673,https://arxiv.org/abs/2110.02673,sources/pdfs/2110.02673.pdf,8,8cc983701e0b464b438e03457414b6d05545c7805f605865f8dd3f586755754c,dijkstra_method_quota:scaling,107,1.505623
P019,2007.07115,Estimation of Thermodynamic Observables in Lattice Field Theories with Deep Generative Models,"Nicoli, Kim A. and Anders, Christopher J. and Funcke, Lena and Hartung, Tobias and Jansen, Karl and Kessel, Pan and Nakajima, Shinichi and Stornati, Paolo",2021,flow_thermodynamics,Flow observables,direct_bibliography,Estimate an absolute free energy without integrating many MCMC free-energy differences and accumulating trajectory errors.,PDF pp.1-2,Train a tractable normalizing-flow density and use model samples and density ratios to estimate the partition function and free energy directly.,PDF pp.2-4,The density-ratio formulation exposes importance-weight variance; finite-sample reliability still depends on proposal quality and overlap with the target.,"For the tested two-dimensional phi4 systems, the direct flow estimates agree with the paper's analytic and MCMC comparisons.",PDF pp.3-5 and figures,The demonstration is restricted to two-dimensional phi4; scaling to four-dimensional gauge theories is left to future work.,PDF p.5 conclusion,new_full_text_review_current_run,https://arxiv.org/abs/2007.07115,https://arxiv.org/abs/2007.07115,sources/pdfs/2007.07115.pdf,13,2adb146d491a4ec0e09d1a680fd3455ebfa54567722c8f42472e6843dd6a6ee7,dijkstra_facet_quota:lineage,32,1.228364
P020,2501.07371,Simulating the Hubbard Model with Equivariant Normalizing Flows,Dominic Schuh; Janik Kreit; Evan Berkowitz; Lena Funcke; Thomas Luu; Kim A. Nicoli; Marcel Rodekamp,2025,hubbard_equivariant_flow,Extensions,adjacent_method,Mitigate severe ergodicity barriers encountered by HMC in small Hubbard-model systems.,PDF p.1 abstract and pp.3-4,Construct normalizing flows equivariant under selected Hubbard symmetries and apply NeuralMCMC metropolization to the generated proposals.,PDF pp.5-9,The paper states that the Metropolis accept-reject step provides asymptotic unbiasedness; the uncorrected equivariant flow remains approximate.,"For the tested 2 by 1 and 2 by 2 systems, equivariance reduces training cost and improves acceptance and autocorrelation relative to the non-equivariant model.",PDF pp.8-11 and Table 1,This is a small-system proof of concept; preserving bijectivity under canonicalization and scaling to larger temporal extent remain unresolved.,PDF pp.10-11 conclusion,new_full_text_review_current_run,https://arxiv.org/abs/2501.07371,http://arxiv.org/abs/2501.07371v1,sources/pdfs/2501.07371.pdf,14,cf276c695175b749c9bca7ab8d8d41d986c1fab2b591bc73ab3f3015d82f955e,dijkstra_facet_quota:adjacent_method,124,1.543775
P021,2101.08176,Introduction to Normalizing Flows for Lattice Field Theory,Michael S. Albergo; Denis Boyda; Daniel C. Hackett; Gurtej Kanwar; Kyle Cranmer; Sébastien Racanière; Danilo Jimenez Rezende; Phiala E. Shanahan,2021,flow_tutorial,Normalizing-flow foundations,adjacent_method,"Provide a concrete, reproducible introduction to flow-based sampling for scalar and gauge lattice field theories.",PDF p.1 abstract and introduction,"Build change-of-variable flow models, train them with reverse KL using model samples, and encode lattice and U(1) gauge symmetries in coupling layers.",PDF pp.4-18 and pp.30-38,"Approximate flow proposals can be corrected with Metropolis-Hastings, yielding target-correct statistics under the usual support and transition assumptions.",The document supplies executable scalar and U(1) examples and implementation guidance; it is primarily a tutorial rather than a new broad benchmark claim.,PDF notebook examples throughout,"Reverse-KL self-training is mode-seeking for multimodal targets, and higher-dimensional gauge-equivariant masking remains an open design problem.",PDF p.17 and p.38,new_full_text_review_current_run,https://arxiv.org/abs/2101.08176,http://arxiv.org/abs/2101.08176v3,sources/pdfs/2101.08176.pdf,39,1b0caf63db00d605563de7cf56b5905c2572ee02dbdca7aaaf187231fa1a7822,dijkstra_facet_quota:adjacent_method,147,1.616704
P022,2409.15937,Numerical determination of the width and shape of the effective string using Stochastic Normalizing Flows,Michele Caselle; Elia Cellini; Alessandro Nada,2024,stochastic_flow_application,Stochastic flows,direct_bibliography,Compute effective-string observables that are difficult to sample accurately with conventional local updates.,PDF p.1 abstract,Use stochastic normalizing flows that interleave invertible layers with stochastic nonequilibrium updates.,PDF method sections,Jarzynski/reweighting factors correct the nonequilibrium proposal.,"The method reproduces Nambu-Goto benchmarks and is used to study string width, flux-tube shape and beyond-leading behavior.","PDF results and conclusion, around pp.15-20","This is an effective-string application, not a general scaling demonstration for realistic gauge theories; more complex models remain future work.",PDF p.20 conclusion,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2409.15937,http://arxiv.org/abs/2409.15937,sources/pdfs/2409.15937.pdf,29,1678a1c65e7728818bd4a3b732b61458efc23b3f7db868c774a7c1a03ccbd329,dijkstra_facet_quota:extension,190,1.704198
P023,2512.19575,Variational Autoregressive Networks Applied to $^4$ Field Theory Systems,"Qian, Moxian and Chen, Shiyang",2025,autoregressive,Autoregressive,author_context,Build data-free autoregressive samplers for discrete and continuous lattice systems and reduce residual proposal bias.,PDF p.1 abstract,"Train variational autoregressive networks, add single-site/block MH corrections, and use transfer learning across coupling and size.",PDF pp.2-8 method,MH corrections target the desired distribution; pure VAN output can remain biased.,VAN+MH agrees with HMC on the tested Ising/phi4 systems and transfer learning reduces training epochs in the reported ranges.,PDF pp.16-17 conclusion,"Only small lattices/parameter ranges are tested; gauge theories, larger finite-size scaling and other correction mechanisms remain open.",PDF p.17 conclusion,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2512.19575,https://arxiv.org/abs/2512.19575,sources/pdfs/2512.19575.pdf,24,7572feab34168a4a32c01d6d2f9f00b5dd7bac62603476104e4d488363da9b96,dijkstra_global_fill,94,1.443963
P024,2207.00283,Learning lattice quantum field theories with equivariant continuous flows,"Gerdes, Mathis and de Haan, Pim and Rainone, Corrado and Bondesan, Roberto and Cheng, Miranda C. N.",2023,equivariant_continuous_flow,Scaling and transfer,direct_bibliography,Reduce critical-slowing and retraining costs when lattice size or theory parameters change.,PDF pp.1-2,Use a fully equivariant continuous flow with theory conditioning and parameter transfer across couplings and lattice sizes.,PDF pp.4-7,The learned density can serve as an independence proposal with Metropolis correction; transfer quality must still be checked at each target.,"In the tested two-dimensional phi4 models, the method improves flow sampling efficiency and transfers learned parameters across nearby theories and lattice sizes.",PDF pp.7-10,Evidence is limited to scalar fields; gauge-theory equivariance and the training-time versus final-ESS tradeoff remain open.,PDF p.10 conclusion,new_full_text_review_current_run,https://arxiv.org/abs/2207.00283,https://arxiv.org/abs/2207.00283,sources/pdfs/2207.00283.pdf,17,430e9eac53156a514fa6e97a401e8a9118ebd632530f5b7ffe7cf81f76751286,dijkstra_global_fill,101,1.47598
P025,2107.00734,Flow-based sampling for multimodal and extended-mode distributions in lattice field theory,Daniel C. Hackett and Chung-Chun Hsieh and Sahil Pontula and Michael S. Albergo and Denis Boyda and Jiunn-Wei Chen and Kai-Feng Chen and Kyle Cranmer and Gurtej Kanwar and Phiala E. Shanahan,2025,flow_failure_modes,Normalizing flows,direct_bibliography,Reverse-KL flow training can collapse modes or miss low-density inner tails even when global metrics look good.,PDF p.1 abstract,"Develop topology matching, equivariant/mixture architectures, forward-KL/adaptive retraining and composite HMC+flow sampling.",PDF method sections,Composite HMC steps regulate independence-MH pathologies; target-distributed diagnostics expose missed tails.,"The tested methods alleviate mode collapse in real and complex scalar theories, while hybrid chains escape high-weight tails more reliably.",PDF pp.36-38 conclusion,"Inner-tail mismodeling persists, metrics can be deceptive, and architecture/training must be specialized; comparative cost is application dependent.",PDF pp.37-38 conclusion,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2107.00734,https://arxiv.org/abs/2107.00734,sources/pdfs/2107.00734.pdf,43,55998cffeab28dbcff6ac5448733fed20458dee16301075dfbecdf81914f8d69,dijkstra_global_fill,132,1.559035
P026,2211.03470,Fourier-flow model generating Feynman paths,"Chen, Shile and Savchuk, Oleh and Zheng, Shiqi and Chen, Baoyi and Stoecker, Horst and Wang, Lingxiao and Zhou, Kai",2023,fourier_flow,Adjacent path generation,direct_bibliography,Generate periodic Feynman paths efficiently for harmonic and double-well quantum-mechanical systems.,PDF p.1 abstract,Combine a discrete Fourier representation with RealNVP to encode periodic path structure and use the trained Fourier flow either directly or as an MCMC proposal.,PDF pp.2-4,Standalone flow estimates remain approximate; the F-flow-augmented MCMC variant supplies the accept-reject correction.,"For the tested oscillators, reported low-energy observables track MCMC, while the augmented chain has acceptance above 50 percent and reduced autocorrelation.",PDF pp.4-5 and Table II,"The evidence is quantum-mechanical and low-dimensional; difficult double wells expose standalone-flow errors, and extension to QFT is future work.",PDF pp.4-5 summary,new_full_text_review_current_run,https://arxiv.org/abs/2211.03470,https://arxiv.org/abs/2211.03470,sources/pdfs/2211.03470.pdf,8,8e482ee920bbf3b9ca44023894e529b46ca7d3df0e621f168e2954ec28cd4a18,dijkstra_global_fill,137,1.583285
P027,2412.19109,Stochastic normalizing flows for Effective String Theory,Michele Caselle; Elia Cellini; Alessandro Nada,2024,stochastic_flow_application,Stochastic flows,direct_bibliography,Apply stochastic normalizing flows to effective-string observables with reduced autocorrelation and controlled estimates.,PDF p.1 abstract,Combine normalizing-flow transformations with stochastic updates along an interpolating protocol.,PDF pp.2-5 method,Nonequilibrium reweighting supplies the correction.,The proceedings contribution reports Binder and flux-profile observables consistent with reference expectations.,PDF results section,Proceedings-scale evidence and one application domain limit conclusions about general scalability.,PDF final section,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2412.19109,http://arxiv.org/abs/2412.19109v2,sources/pdfs/2412.19109.pdf,10,dc3b3f846eb7f13f9b9a50021f993ab6bc34c8755a9fe3cdb5f9a3dcf7a41536,dijkstra_global_fill,174,1.686417
