rank,arxiv_id,title,year,cluster,reachable,dijkstra_distance,path_kind,path_nodes,path_relations,path_weights,path_cost_recomputed,evidence_refs
17,2409.15937,Numerical determination of the width and shape of the effective string using Stochastic Normalizing Flows,2024,Stochastic flows,yes,0.2,citation_only,paper:2606.13790 -> paper:2409.15937,backward_direct_citation,0.2,0.2,R0180
18,2412.19109,Stochastic normalizing flows for Effective String Theory,2024,Stochastic flows,yes,0.2,citation_only,paper:2606.13790 -> paper:2412.19109,backward_direct_citation,0.2,0.2,R0182
19,2307.01050,Transport meets Variational Inference: Controlled Monte Carlo Diffusions,2024,Path-space control,yes,0.2,citation_only,paper:2606.13790 -> paper:2307.01050,backward_direct_citation,0.2,0.2,R0178
20,2107.00734,Flow-based sampling for multimodal and extended-mode distributions in lattice field theory,2025,Normalizing flows,yes,0.2,citation_only,paper:2606.13790 -> paper:2107.00734,backward_direct_citation,0.2,0.2,R0169
21,2510.26081,Group-Equivariant Diffusion Models for Lattice Field Theory,2025,Diffusion,yes,0.2,citation_only,paper:2606.13790 -> paper:2510.26081,backward_direct_citation,0.2,0.2,R0184
22,2502.05504,Physics-Conditioned Diffusion Models for Lattice Gauge Theory,2025,Diffusion,yes,0.2,citation_only,paper:2606.13790 -> paper:2502.05504,backward_direct_citation,0.2,0.2,R0183
23,2512.19575,Variational Autoregressive Networks Applied to $^4$ Field Theory Systems,2025,Autoregressive,yes,0.2,citation_only,paper:2606.13790 -> paper:2512.19575,backward_direct_citation,0.2,0.2,R0185
24,2605.06134,Diffusion model for SU(N) gauge theories,2026,Diffusion,yes,0.2,citation_only,paper:2606.13790 -> paper:2605.06134,backward_direct_citation,0.2,0.2,R0186
25,2607.08505,Diffusion Models for Sampling Near Criticality in Lattice Field Theories,2026,Diffusion,yes,0.3,citation_only,paper:2606.13790 -> paper:2607.08505,forward_direct_citation,0.3,0.3,R0199
26,2101.08176,Introduction to Normalizing Flows for Lattice Field Theory,2021,Normalizing-flow foundations,yes,0.4,citation_only,paper:2606.13790 -> paper:2106.05934 -> paper:2101.08176,backward_direct_citation -> backward_direct_citation,0.2 + 0.2,0.4,R0168;R0008
27,2211.07541,Aspects of scaling and scalability for flow-based sampling of lattice QCD,2022,Scaling / multiscale,yes,0.4,citation_only,paper:2606.13790 -> paper:2107.00734 -> paper:2211.07541,backward_direct_citation -> backward_direct_citation,0.2 + 0.2,0.4,R0169;R0021
28,2208.03832,Sampling QCD field configurations with gauge-equivariant flow models,2022,Normalizing flows,yes,0.4,citation_only,paper:2606.13790 -> paper:2107.00734 -> paper:2208.03832,backward_direct_citation -> backward_direct_citation,0.2 + 0.2,0.4,R0169;R0018
29,2311.03578,Generative Diffusion Models for Lattice Field Theory,2023,Diffusion,yes,0.4,citation_only,paper:2606.13790 -> paper:2502.05504 -> paper:2311.03578,backward_direct_citation -> backward_direct_citation,0.2 + 0.2,0.4,R0183;R0117
30,2409.18861,Sampling SU(3) pure gauge theory with Stochastic Normalizing Flows,2024,Stochastic flows,yes,0.4,citation_only,paper:2606.13790 -> paper:2412.19109 -> paper:2409.18861,backward_direct_citation -> backward_direct_citation,0.2 + 0.2,0.4,R0182;R0102
31,2309.14983,Sampling Nambu-Goto theory using Normalizing Flows,2023,Stochastic flows,yes,0.5,citation_only,paper:2606.13790 -> paper:2201.08862 -> paper:2309.14983,backward_direct_citation -> forward_direct_citation,0.2 + 0.3,0.5,R0172;R0075
32,2501.07371,Simulating the Hubbard Model with Equivariant Normalizing Flows,2025,Extensions,yes,0.5,citation_only,paper:2606.13790 -> paper:1904.12072 -> paper:2501.07371,backward_direct_citation -> forward_direct_citation,0.2 + 0.3,0.5,R0165;R0103
33,2601.20708,A scalable flow-based approach to mitigate topological freezing,2026,Stochastic flows,yes,0.5,citation_only,paper:2606.13790 -> paper:1904.12072 -> paper:2601.20708,backward_direct_citation -> forward_direct_citation,0.2 + 0.3,0.5,R0165;R0133
34,2604.12416,Machine learning for four-dimensional SU(3) lattice gauge theories,2026,Scaling / multiscale,yes,0.5,citation_only,paper:2606.13790 -> paper:2003.06413 -> paper:2604.12416,backward_direct_citation -> forward_direct_citation,0.2 + 0.3,0.5,R0166;R0151
35,2604.10209,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,2026,Scaling / multiscale,yes,0.5,citation_only,paper:2606.13790 -> paper:2003.06413 -> paper:2604.10209,backward_direct_citation -> forward_direct_citation,0.2 + 0.3,0.5,R0166;R0142
36,2605.12597,The critical slowing down in diffusion models,2026,Diagnostics / theory,yes,0.5,citation_only,paper:2606.13790 -> paper:2110.02673 -> paper:2605.12597,backward_direct_citation -> forward_direct_citation,0.2 + 0.3,0.5,R0170;R0163
37,2510.21330,SCORENF: Score-based Normalizing Flows for Sampling Unnormalized distributions,2025,Normalizing flows,yes,0.7,citation_only,paper:2606.13790 -> paper:2003.06413 -> paper:2604.10209 -> paper:2510.21330,backward_direct_citation -> forward_direct_citation -> backward_direct_citation,0.2 + 0.3 + 0.2,0.7,R0166;R0142;R0149
