PaperID,ArxivID,Title,ProblemAnchor,Problem,MechanismAnchor,MechanismCorrection,ResultAnchor,Result,LimitationAnchor,Limitation,EvidenceIDs
P_2210_03139,2210.03139,Stochastic normalizing flows for lattice field theory,"p.2, Introduction",Pure deterministic flows and pure stochastic protocols each face efficiency limits.,"pp.2-3, method",Stochastic normalizing flows combine invertible layers and stochastic evolution with Jarzynski work accounting.,"pp.3-5, application",2D phi4 examples show the hybrid can lower dissipation and improve partition-function estimation.,"p.5, Conclusion",This proceedings treatment is compact and leaves broader scaling/performance comparisons open.,EV-11-P;EV-11-M;EV-11-R;EV-11-L
P_2302_13834,2302.13834,Denoising Diffusion Samplers,"pp.1-3, problem",Diffusion sampling is needed when target samples are unavailable but an unnormalized density is evaluable.,"pp.2-6, DDS",DDS minimizes a path-space KL for a learned reverse diffusion and evaluates discretized trajectory importance weights.,"pp.6-9, experiments","Across synthetic and statistical benchmarks DDS competes with AIS, SMC, and PIS.","p.9, discussion/limitations",Discretization and optimization remain consequential; bespoke schedules and stable training are unresolved in some cases.,EV-12-P;EV-12-M;EV-12-R;EV-12-L
P_2309_17082,2309.17082,Diffusion models as stochastic quantization in lattice field theory,"pp.2-3, Introduction",Critical slowing down raises the cost of generating LFT ensembles.,"pp.6-12, diffusion as SQ",A supervised score model reverses Langevin noising; likelihood evaluation permits an MH-corrected diffusion proposal chain.,"pp.13-19, results","In 2D phi4, generated observables agree well and the MH chain reduces autocorrelation near the studied critical region.","p.20, Conclusion and outlook",It requires reference configurations for training and does not establish training-inclusive scaling to larger dimensions.,EV-13-P;EV-13-M;EV-13-R;EV-13-L
P_2410_02711,2410.02711,NETS: A Non-Equilibrium Transport Sampler,"pp.1-3, Introduction",Unnormalized high-dimensional and multimodal targets require transport with controlled weights.,"pp.3-9, method",NETS learns an additional drift in a nonequilibrium SDE and tracks work/importance weights; diffusivity can be tuned after training.,"pp.10-18, experiments","Benchmarks, including lattice phi4, report strong ESS and sampling performance relative to selected baselines.","pp.19-21, discussion",Weight variance and learned-drift accuracy remain gates; cost matching across training and generation is incomplete.,EV-14-P;EV-14-M;EV-14-R;EV-14-L
P_2502_02127,2502.02127,Exploring Generative Networks for Manifolds with Non-Trivial Topology,"p.1, motivation",Connected invertible/continuous generators can fail on disconnected or nontrivial topology.,"pp.3-6, approach",A GFlowNet-inspired sequential construction uses trajectory balance to explore multiple topological components.,"pp.5-8, examples",Triple-ring and 2D scalar examples show improved exploration of separated structures.,"pp.8-9, conclusion",Proceedings-scale evidence and toy/scalar tests do not establish gauge-theory exactness or cost scaling.,EV-15-P;EV-15-M;EV-15-R;EV-15-L
P_2502_05504,2502.05504,Physics-conditioned diffusion models for lattice gauge theory,"pp.2-4, Introduction",Gauge-field sampling faces critical and topological freezing.,"pp.5-11, method",A physics-conditioned gauge diffusion model is paired with Metropolis-adjusted Langevin dynamics and supports lattice-size transfer.,"pp.12-16, results",2D U(1) tests reproduce observables and improve topological exploration relative to conventional baselines.,"p.16, Conclusion",The study remains low-dimensional and does not settle four-dimensional non-Abelian cost or training-data demands.,EV-16-P;EV-16-M;EV-16-R;EV-16-L
P_2510_01328,2510.01328,Combining complex Langevin dynamics with score-based and energy-based diffusion models,"pp.2-4, Introduction",Complex weights create sign/overlap failures for importance sampling.,"pp.5-8, models",Score- and energy-based models learn the stationary complex-Langevin distribution and diagnose its tails/correctness conditions.,"pp.9-12, results",A complex quartic model shows agreement and exposes how diffusion models represent the stationary distribution.,"p.13, Summary and outlook",The evidence is a low-dimensional complex model and does not solve finite-density lattice QCD.,EV-17-P;EV-17-M;EV-17-R;EV-17-L
P_2510_26081,2510.26081,Group-Equivariant Diffusion Models for Lattice Field Theory,"pp.3-5, Introduction",Diffusion models for LQFT must respect group symmetry and support exact validation.,"pp.5-12, framework",Group-equivariant score networks use force-regularized score matching; likelihood/acceptance diagnostics provide correction checks.,"pp.16-27, experiments",Phi4 and 2D U(1) experiments reproduce observables and show the value of symmetry-aware models.,"p.28, Conclusions",Results are on scalar and 2D Abelian systems; non-Abelian/high-dimensional scaling is left open.,EV-18-P;EV-18-M;EV-18-R;EV-18-L
P_2512_19575,2512.19575,Variational Autoregressive Networks Applied to $\phi^4$ Field Theory Systems,"pp.2-3, Introduction",Data-free autoregressive proposals can retain residual bias and training burden.,"pp.5-9, methods",A VAN is trained variationally and augmented with single-site/block MH corrections plus parameter/lattice transfer tests.,"pp.10-15, results",Ising and phi4 observables agree with MC in the explored range and no clear critical slowing is seen there.,"p.17, Conclusion",The explored models/sizes are limited; transfer and absence of observed slowing do not prove asymptotic scaling.,EV-19-P;EV-19-M;EV-19-R;EV-19-L
P_2601_19552,2601.19552,Generalizable Equivariant Diffusion Models for Non-Abelian Lattice Gauge Theory,"pp.1-2, Introduction",Non-Abelian gauge diffusion models must generalize beyond one training ensemble.,"pp.2-5, method",Gauge-equivariant L-CNN scores feed a Metropolis-adjusted annealed Langevin algorithm.,"pp.5-7, results",2D U(2)/SU(2) tests transfer across inverse couplings and lattice sizes with modest accuracy loss and moderate acceptance.,"pp.7-8, outlook",Training is supervised and evidence is two dimensional; 4D scaling remains untested.,EV-20-P;EV-20-M;EV-20-R;EV-20-L
P_2602_09045,2602.09045,Diffusion Models for SU(2) Lattice Gauge Theory in Two Dimensions,"pp.1-2, Introduction",SU(2) gauge sampling suffers conventional autocorrelation and topology challenges.,"pp.2-6, model",A group-aware score model learns reverse diffusion on gauge configurations generated for training.,"pp.7-10, results","In 2D SU(2), generated observables are compared with HMC and show viable ensemble generation.","pp.10-11, conclusion",The study is 2D and supervised; exact correction and scaling evidence are less developed than in MH-adjusted approaches.,EV-21-P;EV-21-M;EV-21-R;EV-21-L
P_2604_10209,2604.10209,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,"pp.1-2, Introduction",Near-critical LFT sampling becomes inefficient at large volume.,"pp.3-7, multiscale sampler",A renormalization-inspired coarse-to-fine hierarchy combines conditional Gaussian mixtures and masked continuous flows; exact restrictions enable MLMC.,"pp.8-11, results","Critical 2D phi4 tests report much shorter autocorrelation than HMC, high importance efficiency, and unbiased MLMC observables.","p.12, Conclusion",Extension to nontrivial global/topological structure and realistic gauge/fermion systems remains future work.,EV-22-P;EV-22-M;EV-22-R;EV-22-L
P_2605_06134,2605.06134,Diffusion model for SU(N) gauge theories,"pp.1-2, Introduction",SU(N) gauge-field sampling slows toward fine lattice spacing.,"pp.2-7, framework",Implicit score matching is formulated on group manifolds and used in reverse diffusion/HMD-based sampling.,"pp.8-17, results",SU(3) examples in 2D and 4D reproduce several Wilson-action observables against HMC.,"p.18, Summary/discussion",Sampling efficiency degrades in harder regimes and the authors list architecture/training improvements; general cost superiority is not shown.,EV-23-P;EV-23-M;EV-23-R;EV-23-L
P_2605_11199,2605.11199,Operator Spectroscopy of Trained Lattice Samplers,"pp.1-2, Introduction",Observable agreement alone does not identify what a trained sampler learned or where its residual bias lives.,"pp.2-8, projection protocol",Predeclared lattice-operator bases project learned velocity/score/action residuals with held-out and wrong-sector controls.,"pp.9-17, audits","Across phi4 flows/diffusions/NFs and gauge teachers, projections isolate zero-mode, finite-k, and symmetry-resolved residual sectors.","pp.18-20, transfer audit",Operator bases are model/symmetry dependent; class transfer does not imply coefficient transfer or corrected sampling.,EV-24-P;EV-24-M;EV-24-R;EV-24-L
P_2605_12597,2605.12597,The critical slowing down in diffusion models,"pp.1-3, Introduction",It is not guaranteed that diffusion models eliminate critical slowing down.,"pp.4-12, theory",The Gaussian O(n to infinity) limit permits an analytic study of score-learning and generation-time scaling for one- and two-layer local architectures.,"pp.13-23, results","A one-layer model inherits critical slowing, while depth/locality changes training scaling from quadratic to logarithmic in system size in the controlled setting.","pp.24-25, conclusion","The exact analysis is a Gaussian large-n limit, so interacting finite-n and gauge conclusions require new tests.",EV-25-P;EV-25-M;EV-25-R;EV-25-L
P_ROOT,2606.13790,Stochastic Path Sampler For Lattice Field Theory,"pp.1-3, Introduction",Critical slowing makes standard LFT sampling inefficient near transitions/continuum limits.,"pp.4-9, SPS/IMH",SPS learns forward/backward stochastic paths by path-space variational free energy and corrects independent proposals with extended-space IMH.,"pp.10-20, results","For Lx8 2D phi4 through L=64, corrected observables agree with HMC; at kappa=0.27 tau_int is about 0.5 IMH steps versus about 160 HMC trajectories.",pp.20-21 and Appendix B,"Units are not cost matched; acceptance falls with volume, each (kappa,L) is trained separately, and the architecture grows globally with L.",EV-26-P;EV-26-M;EV-26-R;EV-26-L
P_2607_08505,2607.08505,Diffusion Models for Sampling Near Criticality in Lattice Field Theories,"pp.1-3, Introduction",Near-critical learned sampling needs diagnostics and credible transfer to unseen volume.,"pp.4-12, framework","A fully convolutional diffusion score shared across volumes is tested with local drift diagnostics, MALA acceptance, and HMC-referenced ESS.","pp.13-31, results","2D transfer matches or improves in-distribution models; a 3D model trained on L=4,8,16,32 transfers to L=64 for most observables.",p.1 abstract; pp.30-32 discussion,"Residual zero-mode/action-density bias remains, including a broken-phase susceptibility excess in 3D.",EV-27-P;EV-27-M;EV-27-R;EV-27-L
