operation_id,epoch,channel,method,endpoint_or_query,outcome,result_count,bytes,path_or_evidence,note
N027,1783850881,openalex,GET,continuous normalizing flow lattice quantum field theory,success,24746,898394,sources/metadata/F21.json,F21
N028,1783850882,openalex,GET,older path space stochastic control sampler pre-2022,success,574,687340,sources/metadata/F22.json,F22
N029,1783850883,openalex,GET,negative result mode collapse lattice normalizing flow,success,7763,648068,sources/metadata/F23.json,F23
N030,1783850884,openalex,GET,scaling limitation learned lattice field sampler computational cost,success,750,833374,sources/metadata/F24.json,F24
N031,1783850885,openalex,GET,review machine learning sampling lattice field theory,success,34379,824247,sources/metadata/F25.json,F25
N032,1783850886,crossref,GET,Stochastic Path Sampler For Lattice Field Theory,success,2501380,126692,sources/metadata/F26.json,F26
N033,1783850886,arxiv,GET,au:Moxian_Qian AND cat:hep-lat,success,3,7328,sources/metadata/F27.json,F27
N034,1783850887,openalex,GET,GFlowNet trajectory balance diffusion sampler,success,98,389527,sources/metadata/F28.json,F28
N035,1783850890,openalex,GET,lattice field learned sampler gauge fermion topology transfer,success,11,204338,sources/metadata/F29.json,F29
N036,1783850891,openalex,GET,2025 2026 generative sampler lattice field theory diffusion flow,success,58,458190,sources/metadata/F30.json,F30
N037,1783850892,openalex,GET,exactness Metropolis Hastings correction learned sampler,success,398,727235,sources/metadata/L01.json,L01
N038,1783850893,openalex,GET,mode collapse tails composite MCMC learned proposals,success,18,278010,sources/metadata/L02.json,L02
N039,1783850894,openalex,GET,log variance path space loss importance weights,success,50315,844283,sources/metadata/L03.json,L03
N040,1783850895,openalex,GET,gauge topology diffusion sampler lattice field theory,success,71,641645,sources/metadata/L04.json,L04
N041,1783850896,openalex,GET,pseudofermion dynamical fermion scaling learned lattice sampler,success,12,257747,sources/metadata/L05.json,L05
N042,1783850896,openalex,GET,lattice size parameter transfer learned sampler,success,850,668278,sources/metadata/L06.json,L06
N004,1783850683,arxiv,GET,https://arxiv.org/pdf/2606.13790,success,1,2263775,sources/pdfs/2606.13790.pdf,root primary PDF
N005,1783850688,arxiv_export,GET,https://export.arxiv.org/e-print/2606.13790,failed_http_429,0,0,,root source mirror rate-limited
N006,1783850692,arxiv,GET,https://arxiv.org/e-print/2606.13790,success,1,1446553,sources/root_source/2606.13790.tar,root primary source
N043,1783850905,semantic_scholar,GET,ARXIV:2606.13790,failed_http_429,0,0,,exact-ID graph correction rate-limited
N044,1783850920,web_search,search_query,"\"2606.13790\" -site:arxiv.org",success,5,unavailable,web-result,forward-source check 1
N045,1783850920,web_search,search_query,"\"Stochastic Path Sampler For Lattice Field Theory\" citation",success,5,unavailable,web-result,forward-source check 2
N046,1783850920,web_search,search_query,"\"Stochastic Path Sampler\" \"Moxian Qian\" -site:arxiv.org",success,6,unavailable,web-result,forward-source check 3
N070,1783851190,web_search,search_query,"site:arxiv.org/abs/2604.24959",success,1,unavailable,web-result,closure recency correction
N071,1783851190,web_search,search_query,"\"Diffusion Models for Sampling Near Criticality in Lattice Field Theories\"",success,5,unavailable,web-result,closure external addition
N072,1783851220,web_search,search_query,"site:arxiv.org \"The critical slowing down in diffusion models\"",success,1,unavailable,web-result,adversarial closure
N073,1783851220,web_search,search_query,"\"critical slowing down in diffusion models\" Del Bono Biroli Charbonneau Gabrie",success,8,unavailable,web-result,adversarial closure cross-check
N074,1783851240,web_search,search_query,"site:arxiv.org \"Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality\"",success,1,unavailable,web-result,multiscale closure
N047,1783850962,arxiv,GET,https://arxiv.org/pdf/1904.12072,success,1,884944,sources/pdfs/1904.12072.pdf,primary PDF
N048,1783850963,arxiv,GET,https://arxiv.org/pdf/2007.07115,success,1,618576,sources/pdfs/2007.07115.pdf,primary PDF
N049,1783850965,arxiv,GET,https://arxiv.org/pdf/2106.05934,success,1,1323300,sources/pdfs/2106.05934.pdf,primary PDF
N050,1783850966,arxiv,GET,https://arxiv.org/pdf/2003.06413,success,1,1017965,sources/pdfs/2003.06413.pdf,primary PDF
N051,1783850967,arxiv,GET,https://arxiv.org/pdf/2202.11712,success,1,632146,sources/pdfs/2202.11712.pdf,primary PDF
N052,1783850968,arxiv,GET,https://arxiv.org/pdf/2512.19575,success,1,1505787,sources/pdfs/2512.19575.pdf,primary PDF
N053,1783850969,arxiv,GET,https://arxiv.org/pdf/2207.00283,success,1,1135876,sources/pdfs/2207.00283.pdf,primary PDF
N054,1783850971,arxiv,GET,https://arxiv.org/pdf/2110.02673,success,1,2179747,sources/pdfs/2110.02673.pdf,primary PDF
N055,1783850972,arxiv,GET,https://arxiv.org/pdf/2502.02127,success,1,3376138,sources/pdfs/2502.02127.pdf,primary PDF
N056,1783850973,arxiv,GET,https://arxiv.org/pdf/2107.00734,success,1,2697648,sources/pdfs/2107.00734.pdf,primary PDF
N057,1783850975,arxiv,GET,https://arxiv.org/pdf/2201.08862,success,1,899741,sources/pdfs/2201.08862.pdf,primary PDF
N058,1783850976,arxiv,GET,https://arxiv.org/pdf/2210.03139,success,1,622586,sources/pdfs/2210.03139.pdf,primary PDF
N059,1783850977,arxiv,GET,https://arxiv.org/pdf/2309.17082,success,1,2486741,sources/pdfs/2309.17082.pdf,primary PDF
N060,1783850979,arxiv,GET,https://arxiv.org/pdf/2502.05504,success,1,3038787,sources/pdfs/2502.05504.pdf,primary PDF
N061,1783850980,arxiv,GET,https://arxiv.org/pdf/2510.26081,success,1,4435646,sources/pdfs/2510.26081.pdf,primary PDF
N062,1783850984,arxiv,GET,https://arxiv.org/pdf/2601.19552,success,1,913993,sources/pdfs/2601.19552.pdf,primary PDF
N063,1783850985,arxiv,GET,https://arxiv.org/pdf/2602.09045,success,1,1015562,sources/pdfs/2602.09045.pdf,primary PDF
N064,1783850987,arxiv,GET,https://arxiv.org/pdf/2605.06134,success,1,2425612,sources/pdfs/2605.06134.pdf,primary PDF
N065,1783850989,arxiv,GET,https://arxiv.org/pdf/2510.01328,success,1,5511425,sources/pdfs/2510.01328.pdf,primary PDF
N066,1783850990,arxiv,GET,https://arxiv.org/pdf/2605.11199,success,1,1099526,sources/pdfs/2605.11199.pdf,primary PDF
N067,1783850992,arxiv,GET,https://arxiv.org/pdf/2111.15141,success,1,2713763,sources/pdfs/2111.15141.pdf,primary PDF
N068,1783850993,arxiv,GET,https://arxiv.org/pdf/2302.13834,success,1,4179526,sources/pdfs/2302.13834.pdf,primary PDF
N069,1783850994,arxiv,GET,https://arxiv.org/pdf/2410.02711,success,1,2113233,sources/pdfs/2410.02711.pdf,primary PDF
N075,1783851142,arxiv,GET,https://arxiv.org/pdf/2607.08505,success,1,4976729,sources/pdfs/2607.08505.pdf,closure primary PDF
N076,1783851143,arxiv,GET,https://arxiv.org/pdf/2605.12597,success,1,6548734,sources/pdfs/2605.12597.pdf,closure primary PDF
N077,1783851145,arxiv,GET,https://arxiv.org/pdf/2604.10209,success,1,1246772,sources/pdfs/2604.10209.pdf,closure primary PDF
