edge_id,source_arxiv_id,target_arxiv_id,relation_type,relation_basis,evidence_id,confidence,human_review_status
R014,2512.19575,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1696: Systems, 2512.19575.",E-260613790-I,high,identifier_context_checked
R015,2309.17082,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1736: theory, Journal of High Energy Physics 2024 (2024) 60 [2309.17082].",E-260613790-I,high,identifier_context_checked
R016,1904.12072,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1674: chain Monte Carlo in lattice field theory, Phys. Rev. D 100 (2019) 034515 [1904.12072].",E-260613790-I,high,identifier_context_checked
R017,2003.06413,2606.13790,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1689: [2003.06413].,E-260613790-I,high,identifier_context_checked
R018,2107.00734,2606.13790,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1706: 2107.00734.,E-260613790-I,high,identifier_context_checked
R019,2510.26081,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1740: for Lattice Field Theory, 2510.26081.",E-260613790-I,high,identifier_context_checked
R020,2211.01364,2410.02711,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 975: generative modeling, 2024. URL https://arxiv.org/abs/2211.01364.",E-241002711-I,high,identifier_context_checked
R021,2201.08862,2409.15937,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1340: non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",E-240915937-I,high,identifier_context_checked
R022,2211.07541,2409.15937,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1346: Eur. Phys. J. A 59 (2023) 257 [2211.07541].,E-240915937-I,high,identifier_context_checked
R023,2409.15937,2412.19109,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 448: effective string using Stochastic Normalizing Flows, 2409.15937.",E-241219109-I,high,identifier_context_checked
R024,2201.08862,2412.19109,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 511: non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",E-241219109-I,high,identifier_context_checked
R025,2409.18861,2412.19109,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 518: 2409.18861.,E-241219109-I,high,identifier_context_checked
R026,2201.08862,2210.03139,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 313: non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",E-221003139-I,high,identifier_context_checked
R027,2107.00734,2210.03139,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 378: Flow-based sampling for multimodal distributions in lattice field theory, 2107.00734.",E-221003139-I,high,identifier_context_checked
R028,2106.05934,2201.08862,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1509: [2106.05934]. D. C. Hackett, C.-C. Hsieh, M. S. Albergo, D. Boyda, J.-W. Chen, K.-F. Chen",E-220108862-I,high,identifier_context_checked
R029,1904.12072,2201.08862,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1493: chain Monte Carlo in lattice field theory, Phys. Rev. D 100 (2019) 034515, [1904.12072].",E-220108862-I,high,identifier_context_checked
R030,2003.06413,2201.08862,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1496: [2003.06413]. D. Boyda, G. Kanwar, S. Racanière, D. J. Rezende, M. S. Albergo, K. Cran-",E-220108862-I,high,identifier_context_checked
R031,2107.00734,2201.08862,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1510: et al., Flow-based sampling for multimodal distributions in lattice field theory, 2107.00734.",E-220108862-I,high,identifier_context_checked
R032,2410.02711,2502.05504,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1462: 2410.02711.,E-250205504-I,high,identifier_context_checked
R033,2201.08862,2502.05504,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1344: non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",E-250205504-I,high,identifier_context_checked
R034,2311.03578,2502.05504,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1395: 37th Conference on Neural Information Processing Systems, 2023 [2311.03578].",E-250205504-I,high,identifier_context_checked
R035,2211.07541,2502.05504,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1351: Eur. Phys. J. A 59 (2023) 257 [2211.07541].,E-250205504-I,high,identifier_context_checked
R036,2309.17082,2502.05504,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1393: theory, JHEP 05 (2024) 060 [2309.17082].",E-250205504-I,high,identifier_context_checked
R037,1904.12072,2502.05504,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1298: chain Monte Carlo in lattice field theory, Phys. Rev. D 100 (2019) 034515 [1904.12072].",E-250205504-I,high,identifier_context_checked
R038,2003.06413,2502.05504,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1314: [2003.06413].,E-250205504-I,high,identifier_context_checked
R039,2211.07541,2311.03578,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 283: 2022. arXiv:2211.07541(hep-lat).,E-231103578-I,high,identifier_context_checked
R040,2309.17082,2311.03578,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 313: Lattice Field Theory, 2023. arXiv:2309.17082(hep-lat).",E-231103578-I,high,identifier_context_checked
R041,2107.00734,2311.03578,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 281: for multimodal distributions in lattice field theory, 2021. arXiv:2107.00734(hep-lat).",E-231103578-I,high,identifier_context_checked
R042,2502.05504,2605.06134,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1429: [2] Q. Zhu, G. Aarts, W. Wang, K. Zhou, and L. Wang, (2025), arXiv:2502.05504 [hep-lat] .",E-260506134-I,high,identifier_context_checked
R043,2309.17082,2605.06134,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1445: [12] L. Wang, G. Aarts, and K. Zhou, JHEP 05, 060 (2024), arXiv:2309.17082 [hep-lat] .",E-260506134-I,high,identifier_context_checked
R044,2003.06413,2605.06134,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1433: and P. E. Shanahan, Phys. Rev. Lett. 125, 121601 (2020), arXiv:2003.06413 .",E-260506134-I,high,identifier_context_checked
R045,2510.26081,2605.06134,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1444: [11] O. Vega, J. Komijani, A. El-Khadra, and M. Marinkovic, (2025), arXiv:2510.26081 .",E-260506134-I,high,identifier_context_checked
R046,2307.01050,2211.01364,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1240: annealed flows and Schrödinger bridges. arXiv preprint arXiv:2307.01050, 2023.",E-221101364-I,high,identifier_context_checked
R047,2309.17082,2605.11199,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 2067: [3] M. S. Albergo, G. Kanwar, and P. E. Shanahan, Phys.                 05, 060, arXiv:2309.17082.",E-260511199-I,high,identifier_context_checked
R048,1904.12072,2106.05934,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1648: Rev. D 100 no. 3, (2019) 034515, arXiv:1904.12072              (2007) 051601, arXiv:hep-lat/0608015.",E-210605934-I,high,identifier_context_checked
R049,2003.06413,2106.05934,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1658: arXiv:2003.06413 [hep-lat].                               [81] G. Bhanot, U. M. Heller, and I. O. Stamatescu Phys.",E-210605934-I,high,identifier_context_checked
R050,2210.03139,2211.07541,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1136: theory (2022). arXiv:2210.03139 [hep-lat]              machine learning classification capabili-,E-221107541-I,high,identifier_context_checked
R051,2201.08862,2211.07541,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1132: arXiv:2201.08862 [hep-lat]                             URL        https://link.aps.org/doi/10.1103/,E-221107541-I,high,identifier_context_checked
R052,2106.05934,2211.07541,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1080: theories (2021). arXiv:2106.05934 [hep-lat],E-221107541-I,high,identifier_context_checked
R053,1904.12072,2211.07541,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1018: mat.str-el]                                              PhysRevD.100.034515.    arXiv:1904.12072,E-221107541-I,high,identifier_context_checked
R054,2003.06413,2211.07541,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1066: PhysRevLett.125.121601. arXiv:2003.06413,E-221107541-I,high,identifier_context_checked
R055,2107.00734,2211.07541,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1052: arXiv:2107.00734 [hep-lat]                             down using global correction steps with,E-221107541-I,high,identifier_context_checked
R056,2208.03832,2211.07541,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1073: Rev. D 103(7), 074,504 (2021). https:                  flow models (2022). arXiv:2208.03832 [hep-",E-221107541-I,high,identifier_context_checked
R057,2409.15937,2409.18861,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 510: effective string using Stochastic Normalizing Flows, 2409.15937.",E-240918861-I,high,identifier_context_checked
R058,2201.08862,2409.18861,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 504: non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",E-240918861-I,high,identifier_context_checked
R059,2211.07541,2409.18861,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 482: Eur. Phys. J. A 59 (2023) 257 [2211.07541].,E-240918861-I,high,identifier_context_checked
R060,2606.13790,2607.08505,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 2814: Learn. Sci. Tech. 5, 045053 (2024), arXiv:2401.00828                arXiv:2606.13790 [hep-lat].",E-260708505-I,high,identifier_context_checked
R061,2201.08862,2607.08505,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 2797: JHEP 07, 015, arXiv:2201.08862 [hep-lat].                           060, arXiv:2309.17082 [hep-lat].",E-260708505-I,high,identifier_context_checked
R062,2502.05504,2607.08505,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 2821: S. Kühn, and S. Nakajima, Multilevel Generative Sam-               theory, JHEP 03, 111, arXiv:2502.05504 [hep-lat].",E-260708505-I,high,identifier_context_checked
R063,2311.03578,2607.08505,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 2801: [18] J. Cotler and S. Rezchikov, Renormalization group flow              arXiv:2311.03578 [hep-lat].",E-260708505-I,high,identifier_context_checked
R064,2605.06134,2607.08505,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 2830: arXiv:2510.26678 [hep-lat].                                         model for SU(N) gauge theories (2026), arXiv:2605.06134",E-260708505-I,high,identifier_context_checked
R065,2211.07541,2607.08505,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 2875: 257 (2023), arXiv:2211.07541 [hep-lat].                           (2023), arXiv:2207.00283 [hep-lat].",E-260708505-I,high,identifier_context_checked
R066,2309.17082,2607.08505,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 2797: JHEP 07, 015, arXiv:2201.08862 [hep-lat].                           060, arXiv:2309.17082 [hep-lat].",E-260708505-I,high,identifier_context_checked
R067,1904.12072,2607.08505,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 2777: [7] M. Luscher and P. Weisz, Scaling Laws and Triviality              arXiv:1904.12072 [hep-lat].",E-260708505-I,high,identifier_context_checked
R068,2605.12597,2607.08505,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 2842: arXiv:1907.05600 [cs.LG].                                           (2026), arXiv:2605.12597 [cond-mat.dis-nn].",E-260708505-I,high,identifier_context_checked
R069,2409.15937,2604.10209,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 690: arXiv:2106.05934 [hep-lat].                                       arXiv:2409.15937 [hep-lat].,E-260410209-I,high,identifier_context_checked
R070,2201.08862,2604.10209,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 688: J. M. Urban, D. Boyda, K. Cranmer, D. C. Hackett,                 07, 015, arXiv:2201.08862 [hep-lat].",E-260410209-I,high,identifier_context_checked
R071,2502.05504,2604.10209,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 716: arXiv (2025), arXiv:2502.05504 [hep-lat].                     Appendix A: HMC Simulation: Critical Slowing",E-260410209-I,high,identifier_context_checked
R072,2106.05934,2604.10209,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 690: arXiv:2106.05934 [hep-lat].                                       arXiv:2409.15937 [hep-lat].,E-260410209-I,high,identifier_context_checked
R073,2211.07541,2604.10209,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 737: arXiv:2211.07541 [hep-lat].                                  L       Chain length       Acceptance       Wall-clock time,E-260410209-I,high,identifier_context_checked
R074,2510.21330,2604.10209,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 724: arXiv:2510.21330 [cs.LG].                                   molecular-dynamics trajectory length τMD = 1 and,E-260410209-I,high,identifier_context_checked
R075,2309.17082,2604.10209,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 714: arXiv:2309.17082 [hep-lat].,E-260410209-I,high,identifier_context_checked
R076,2003.06413,2604.10209,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 686: arXiv:2003.06413 [hep-lat].                                       arXiv:2410.13161 [hep-lat].,E-260410209-I,high,identifier_context_checked
R077,2510.26081,2604.10209,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 722: arXiv preprint arXiv:2510.26081 (2025).,E-260410209-I,high,identifier_context_checked
R078,2211.07541,2512.19575,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1184: [2211.07541].,E-251219575-I,high,identifier_context_checked
R079,2309.17082,2512.19575,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1225: theory, JHEP 05 (2024) 060 [2309.17082].",E-251219575-I,high,identifier_context_checked
R080,1904.12072,2512.19575,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1178: chain monte carlo in lattice field theory, Phys. Rev. D 100 (2019) 034515 [1904.12072].",E-251219575-I,high,identifier_context_checked
R081,2003.06413,2512.19575,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1187: [2003.06413].,E-251219575-I,high,identifier_context_checked
R082,2201.08862,2309.17082,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1464: non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",E-230917082-I,high,identifier_context_checked
R083,2106.05934,2309.17082,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1449: [2106.05934].,E-230917082-I,high,identifier_context_checked
R084,2211.07541,2309.17082,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1481: 2211.07541.,E-230917082-I,high,identifier_context_checked
R085,1904.12072,2309.17082,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1440: chain Monte Carlo in lattice field theory, Phys. Rev. D 100 (2019) 034515 [1904.12072].",E-230917082-I,high,identifier_context_checked
R086,2003.06413,2309.17082,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1443: 121601 [2003.06413].,E-230917082-I,high,identifier_context_checked
R087,2107.00734,2309.17082,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1457: Flow-based sampling for multimodal distributions in lattice field theory, 2107.00734.",E-230917082-I,high,identifier_context_checked
R088,2210.03139,2107.00734,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 2918: LATTICE2022, 005 (2023), arXiv:2210.03139 [hep-                            N i",E-210700734-I,high,identifier_context_checked
R089,2201.08862,2107.00734,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 2761: [17] S.-H. Li and L. Wang, Phys. Rev. Lett. 121, 260601             07, 015 (2022), arXiv:2201.08862 [hep-lat].",E-210700734-I,high,identifier_context_checked
R090,2106.05934,2107.00734,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 2794: arXiv:2106.05934 [hep-lat].                                    229 (2023), arXiv:2212.11387 [hep-lat].",E-210700734-I,high,identifier_context_checked
R091,2211.07541,2107.00734,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 2788: 107, 054501 (2023), arXiv:2010.11900 [hep-lat].           [51] R. Abbott et al., (2022), arXiv:2211.07541 [hep-lat].",E-210700734-I,high,identifier_context_checked
R092,1904.12072,2107.00734,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 2768: D 100, 034515 (2019), arXiv:1904.12072 [hep-lat].         [43] J. Finkenrath, (2022), arXiv:2201.02216 [hep-lat].",E-210700734-I,high,identifier_context_checked
R093,2003.06413,2107.00734,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 2772: arXiv:2003.06413 [hep-lat].                                    L. Wang, and K. Zhou, Phys. Rev. D 107, 056001",E-210700734-I,high,identifier_context_checked
R094,2208.03832,2107.00734,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 2819: arXiv:2208.03832 [hep-lat].                                    D. Roweth, Phys. Lett. B 195, 216 (1987).",E-210700734-I,high,identifier_context_checked
R095,2306.00581,2107.00734,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 2815: [37] S. Foreman, T. Izubuchi, L. Jin, X.-Y. Jin, J. C.              arXiv:2306.00581 [hep-lat].",E-210700734-I,high,identifier_context_checked
R096,2201.08862,2604.12416,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 860: non-equilibrium transformations, JHEP 07 (2022) 015, [2201.08862].",E-260412416-I,high,identifier_context_checked
R097,2502.05504,2604.12416,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 818: lattice gauge theory, JHEP 03 (2026) 111, [2502.05504].",E-260412416-I,high,identifier_context_checked
R098,2211.07541,2604.12416,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 800: Eur. Phys. J. A 59 (2023) 257, [2211.07541].",E-260412416-I,high,identifier_context_checked
R099,2409.18861,2604.12416,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 869: Normalizing Flows, PoS LATTICE2024 (2025) 040, [2409.18861].",E-260412416-I,high,identifier_context_checked
R100,2309.17082,2604.12416,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 812: theory, JHEP 05 (2024) 060, [2309.17082].",E-260412416-I,high,identifier_context_checked
R101,2003.06413,2604.12416,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 775: 121601, [2003.06413].",E-260412416-I,high,identifier_context_checked
R102,2601.20708,2604.12416,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 857: Symposium on Lattice Field Theory, 1, 2026. 2601.20708.",E-260412416-I,high,identifier_context_checked
R103,2510.26081,2604.12416,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 824: Models for Lattice Field Theory, 2510.26081.",E-260412416-I,high,identifier_context_checked
R104,2201.08862,2208.03832,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 613: [41] M. Caselle, E. Cellini, A. Nada, and M. Panero arXiv:2201.08862 [hep-lat].",E-220803832-I,high,identifier_context_checked
R105,2106.05934,2208.03832,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 585: arXiv:2106.05934 [hep-lat].,E-220803832-I,high,identifier_context_checked
R106,1904.12072,2208.03832,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 570: arXiv:1904.12072 [hep-lat].,E-220803832-I,high,identifier_context_checked
R107,2003.06413,2208.03832,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 577: arXiv:2003.06413 [hep-lat].,E-220803832-I,high,identifier_context_checked
R108,2107.00734,2208.03832,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 594: G. Kanwar, and P. E. Shanahan arXiv:2107.00734 [hep-lat].",E-220803832-I,high,identifier_context_checked
R109,2409.15937,2601.20708,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 455: effective string using Stochastic Normalizing Flows, JHEP 02 (2025) 090 [2409.15937].",E-260120708-I,high,identifier_context_checked
R110,2201.08862,2601.20708,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 452: non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",E-260120708-I,high,identifier_context_checked
R111,2502.05504,2601.20708,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 558: for Lattice Gauge Theory, 2502.05504.",E-260120708-I,high,identifier_context_checked
R112,2106.05934,2601.20708,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 525: [2106.05934].,E-260120708-I,high,identifier_context_checked
R113,2309.17082,2601.20708,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 548: theory, JHEP 05 (2024) 060 [2309.17082].",E-260120708-I,high,identifier_context_checked
R114,1904.12072,2601.20708,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 469: chain Monte Carlo in lattice field theory, Phys. Rev. D 100 (2019) 034515 [1904.12072].",E-260120708-I,high,identifier_context_checked
R115,2003.06413,2601.20708,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 505: 121601 [2003.06413].,E-260120708-I,high,identifier_context_checked
R116,2510.26081,2601.20708,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 564: Models for Lattice Field Theory, 2510.26081.",E-260120708-I,high,identifier_context_checked
R117,2502.05504,2510.26081,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 2525: Models for Lattice Gauge Theory. arXiv:2502.05504.,E-251026081-I,high,identifier_context_checked
R118,2311.03578,2510.26081,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 2486: Theory. arXiv:2311.03578.,E-251026081-I,high,identifier_context_checked
R119,2211.07541,2510.26081,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 2326: Sampling of Lattice QCD. Eur. Phys. J. A 59 (2023) 257 [2211.07541].,E-251026081-I,high,identifier_context_checked
R120,2309.17082,2510.26081,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 2489: Lattice Field Theory. J. High Energ. Phys. 5 (2024) 60 [2309.17082].,E-251026081-I,high,identifier_context_checked
R121,1904.12072,2510.26081,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 2284: 034515 [arXiv:1904.12072].,E-251026081-I,high,identifier_context_checked
R122,2003.06413,2510.26081,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 2298: Gauge Theory. Phys. Rev. Lett. 125 (2020) 121601 [2003.06413].,E-251026081-I,high,identifier_context_checked
R123,2208.03832,2510.26081,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 2321: Gauge-Equivariant Flow Models. PoS LATTICE2022 (2023) 036 [2208.03832].,E-251026081-I,high,identifier_context_checked
R124,2107.00734,2306.00581,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 506: arXiv:2107.00734, 7 2021.                    Albergo, Gurtej Kanwar, Phiala E.",E-230600581-I,high,identifier_context_checked
